species,year,arc_distance,incenter_arc_distace,relative_arc_distance
BEMA,2015,0.0010191267177900925,5.232811802833032e-4,1.947569979945275
CETE,2015,2.048950415178733e-5,5.232811802833032e-4,0.0391558208546586
CHFU,2015,0.001025596467682655,5.232811802833032e-4,1.9599337914797537
CHMI,2015,0.0010479153428125305,5.232811802833032e-4,2.0025855740601863
HOMA,2015,0.001027396488590055,5.232811802833032e-4,1.9633736646783762
LEMA,2015,1.3487925731625542e-5,5.232811802833032e-4,0.0257756751815978
MEEL,2015,3.5520625823942655e-5,5.232811802833032e-4,0.06788057197989018
MESU,2015,1.9556032864793668e-5,5.232811802833032e-4,0.03737193998493521
PAIN,2015,0.0010292346040785285,5.232811802833032e-4,1.9668863373249987
PLCO,2015,8.12337061610342e-6,5.232811802833032e-4,0.015523911277882087
POMA,2015,0.001081797299972817,5.232811802833032e-4,2.067334619959263
POMO,2015,3.75240633732868e-5,5.232811802833032e-4,0.07170917813816916
PUPA,2015,3.159740206834546e-5,5.232811802833032e-4,0.060383218924935735
SASO,2015,1.593017680538683e-4,5.232811802833032e-4,0.3044286208948365
SCLA,2015,0.0010141716957841494,5.232811802833032e-4,1.9381008413776304
SOAS,2015,2.204621214485587e-5,5.232811802833032e-4,0.042130718580248014
SPRU,2015,0.0010285648649007197,5.232811802833032e-4,1.9656064533867952
SUSP,2015,2.7442532639310132e-5,5.232811802833032e-4,0.05244318670977774
BEMA,2016,0.0015156228413038624,0.013389777403152857,0.11319253454855661
CETE,2016,4.197832235965422e-4,0.013389777403152857,0.0313510233185577
HOMA,2016,0.05997172938184091,0.013389777403152857,4.478919072076547
LEMA,2016,0.005605297380396624,0.013389777403152857,0.41862513555130193
MEEL,2016,0.0022952487439769887,0.013389777403152857,0.17141799111884656
MESU,2016,0.0035064179578623866,0.013389777403152857,0.2618727595155345
PAIN,2016,0.006610218006664826,0.013389777403152857,0.49367646732561327
PLCO,2016,0.007351542563038816,0.013389777403152857,0.5490414322576989
POMA,2016,0.06865221531688344,0.013389777403152857,5.127211099171677
POMO,2016,0.010824617334511968,0.013389777403152857,0.8084239945589479
PUPA,2016,0.0025129636505175496,0.013389777403152857,0.18767777647489706
SASO,2016,0.0023163220893964785,0.013389777403152857,0.1729918294871026
SCLA,2016,0.014001400526949348,0.013389777403152857,1.0456783638279508
SOAS,2016,0.008788986888087246,0.013389777403152857,0.6563952949671684
SPRU,2016,0.009977063860144403,0.013389777403152857,0.7451254460582093
BEMA,2017,0.0508097809837593,0.030536854206120567,1.663883929916245
CETE,2017,0.001434137159895581,0.030536854206120567,0.046964142089270404
CHFU,2017,0.025236819162814735,0.030536854206120567,0.826438080113585
CHMI,2017,0.00842892303937143,0.030536854206120567,0.2760246023535064
HOMA,2017,0.001928965204708601,0.030536854206120567,0.06316843220615613
LEMA,2017,0.00118830565624012,0.030536854206120567,0.03891382027170125
MEEL,2017,0.027397685480368698,0.030536854206120567,0.8972006512339873
MESU,2017,0.001796065605883397,0.030536854206120567,0.05881632710953598
PAIN,2017,0.0015832564395966931,0.030536854206120567,0.051847398193339694
PLCO,2017,0.016685993193011627,0.030536854206120567,0.5464214840331267
POMA,2017,0.04497771670094816,0.030536854206120567,1.4728994806522402
POMO,2017,0.05264703528678286,0.030536854206120567,1.7240490762873244
PUPA,2017,0.002014989211177845,0.030536854206120567,0.06598548748921153
SASO,2017,2.2443397292256254e-4,0.030536854206120567,0.007349610127083056
SCLA,2017,0.06212081460703733,0.030536854206120567,2.034289916955045
SPRU,2017,0.0030666033301686214,0.030536854206120567,0.10042302686024468
BEMA,2018,0.010709513878153729,0.038189215046861194,0.2804329406878959
CETE,2018,0.002953166302993676,0.038189215046861194,0.0773298508327523
HOMA,2018,0.0852651295300209,0.038189215046861194,2.232701809277667
LEMA,2018,0.019475273671083773,0.038189215046861194,0.5099678966217575
PAIN,2018,0.0014167801137424613,0.038189215046861194,0.037098958750630504
POMA,2018,0.0624501072451185,0.038189215046861194,1.6352812480824042
PUPA,2018,0.0023531929145616994,0.038189215046861194,0.061619305651455396
SASO,2018,0.08874631455679212,0.038189215046861194,2.3238580433741136
BEMA,2019,4.365459315152351e-6,0.0014190021651967998,0.003076428931697162
CETE,2019,0.002151062436318669,0.0014190021651967998,1.5158979239614767
CHFU,2019,6.926071785935845e-6,0.0014190021651967998,0.004880945185150776
CHMI,2019,3.3214463859118895e-6,0.0014190021651967998,0.002340691555922497
HOMA,2019,9.451318315849275e-6,0.0014190021651967998,0.006660538332961939
LEMA,2019,0.0025456622608267246,0.0014190021651967998,1.793980533126015
MEEL,2019,0.002384086265884678,0.0014190021651967998,1.680114607544684
MESU,2019,8.166770582657567e-4,0.0014190021651967998,0.5755291135531796
PAIN,2019,5.914796805640328e-4,0.0014190021651967998,0.4168278915078337
PLCO,2019,7.58099066164219e-6,0.0014190021651967998,0.005342479981762953
POMA,2019,5.285969822104161e-6,0.0014190021651967998,0.0037251316113186173
POMO,2019,0.0035387448082140156,0.0014190021651967998,2.4938262216979994
PUPA,2019,2.6953629825792093e-5,0.0014190021651967998,0.018994777095392188
SASO,2019,8.382396196245806e-6,0.0014190021651967998,0.005907246938614263
SCLA,2019,1.4584758149156957e-5,0.0014190021651967998,0.010278178925212714
SOAS,2019,1.4184913335428053e-5,0.0014190021651967998,0.00999640006430911
SPRU,2019,0.0019050505738509849,0.0014190021651967998,1.3425283065630669
BEMA,2020,6.646711721240417e-4,3.3576066963508224e-4,1.9795980656294025
CETE,2020,1.601430745160783e-5,3.3576066963508224e-4,0.04769560255229655
