species,Year,number_species,mean_capital_omega
BEMA,2015,18,5.038232884711433e-15
CETE,2015,18,1.8243432921726873e-14
CHFU,2015,18,1.264829650207967e-13
CHMI,2015,18,8.904795291877672e-14
HOMA,2015,18,1.4946633650851195e-12
LEMA,2015,18,3.805823316083464e-13
MEEL,2015,18,6.12446375649142e-14
MESU,2015,18,3.4105351468768994e-12
PAIN,2015,18,1.2930402116078466e-12
PLCO,2015,18,1.8706242533711596e-13
POMA,2015,18,6.480181532395127e-13
POMO,2015,18,1.657873584500144e-14
PUPA,2015,18,1.941323107350673e-14
SASO,2015,18,5.36449681159917e-16
SCLA,2015,18,1.1655769736831479e-12
SOAS,2015,18,2.9331468968547986e-13
SPRU,2015,18,1.510402186020206e-14
SUSP,2015,18,2.2728101144929178e-14
BEMA,2016,15,9.460754476658005e-6
CETE,2016,15,5.768027257039707e-6
HOMA,2016,15,3.3470084673168274e-6
LEMA,2016,15,1.7244062567551053e-8
MEEL,2016,15,5.6833790166288005e-11
MESU,2016,15,3.040987115986285e-5
PAIN,2016,15,1.8629362316374567e-9
PLCO,2016,15,4.112606513243953e-6
POMA,2016,15,2.9813712255101e-8
POMO,2016,15,6.17334206194859e-7
PUPA,2016,15,8.453866930244579e-6
SASO,2016,15,8.754967591692653e-7
SCLA,2016,15,2.548593444497811e-6
SOAS,2016,15,2.0305670542072273e-6
SPRU,2016,15,9.80005222593712e-7
BEMA,2017,16,5.6404890527078546e-8
CETE,2017,16,1.2936656200144077e-7
CHFU,2017,16,5.026757177697098e-8
CHMI,2017,16,1.0453744384243341e-8
HOMA,2017,16,5.43806762521366e-8
LEMA,2017,16,8.802517994864288e-9
MEEL,2017,16,5.213904648350947e-8
MESU,2017,16,4.156713950593336e-8
PAIN,2017,16,3.5379281695919605e-8
PLCO,2017,16,2.9188902797158876e-8
POMA,2017,16,3.3719869733320212e-9
POMO,2017,16,1.848083146437275e-8
PUPA,2017,16,4.772397423884273e-10
SASO,2017,16,3.5909813850172824e-8
SCLA,2017,16,1.0601186286338861e-7
SPRU,2017,16,4.5859285463758316e-8
BEMA,2018,8,4.212927788644928e-5
CETE,2018,8,1.7414478759788444e-4
HOMA,2018,8,1.8326865321846563e-5
LEMA,2018,8,4.911681663937094e-6
PAIN,2018,8,1.3871635436566023e-4
POMA,2018,8,6.711520428689439e-5
PUPA,2018,8,2.558982950687357e-5
SASO,2018,8,7.327382286448662e-6
BEMA,2019,17,9.546012676263897e-14
CETE,2019,17,2.5204912477114675e-13
CHFU,2019,17,3.790702219788657e-15
CHMI,2019,17,3.387900524097274e-14
HOMA,2019,17,3.3858395348462143e-13
LEMA,2019,17,1.2582439447827068e-13
MEEL,2019,17,4.327316485054285e-14
MESU,2019,17,2.767194301736503e-14
PAIN,2019,17,1.667332417346056e-13
PLCO,2019,17,1.3921342330915539e-13
POMA,2019,17,2.5905022731115745e-12
POMO,2019,17,1.9343678038245854e-11
PUPA,2019,17,4.096830348698305e-15
SASO,2019,17,9.662670133116372e-15
SCLA,2019,17,6.034409141120126e-13
SOAS,2019,17,5.8496636355339474e-15
SPRU,2019,17,1.009999058691579e-13
BEMA,2020,16,6.910088072445418e-16
CETE,2020,16,2.668952455631316e-16
CHFU,2020,16,1.9056236946461423e-16
CHMI,2020,16,5.363214709739038e-16
HOMA,2020,16,1.1201373422132094e-15
LEMA,2020,16,6.684007238113379e-16
MESU,2020,16,8.905892244268727e-16
PAIN,2020,16,8.146603073252176e-16
PLCO,2020,16,2.6564305601929305e-15
POMA,2020,16,5.444655463108319e-15
POMO,2020,16,1.1544496710030733e-16
PUPA,2020,16,3.058674946330064e-15
SASO,2020,16,1.686429832501066e-16
SCLA,2020,16,2.105889057378752e-18
SOAS,2020,16,2.5199113951609775e-16
SPRU,2020,16,2.3035505515978733e-15
BEMA,2021,17,4.02152142804552e-14
CETE,2021,17,3.2657393210525703e-13
CHFU,2021,17,4.211466324471077e-13
CHMI,2021,17,1.9559501269364005e-14
HOMA,2021,17,8.96781571516415e-13
LEMA,2021,17,1.4874385929396042e-11
MEEL,2021,17,5.811142182460226e-14
MESU,2021,17,1.82357522976484e-12
PAIN,2021,17,1.778191633335843e-13
PLCO,2021,17,1.388422564385914e-12
POMA,2021,17,2.2801934230282206e-14
POMO,2021,17,2.2677332131694755e-13
PUPA,2021,17,8.549484773294011e-14
SASO,2021,17,7.823589419107083e-14
SCLA,2021,17,1.4473639868462328e-12
SOAS,2021,17,5.962329818264452e-13
SPRU,2021,17,4.548986278264136e-13
