species,network_id,prob_excl_saavedra
Apis mellifera,mangal_929,0
Centris,mangal_929,0
Centris aenea,mangal_929,0
Centris caxiensis,mangal_929,0.3247
Centris flavifrons,mangal_929,0.3557
Centris fuscata,mangal_929,0.28869999999999996
Centris obsoleta,mangal_929,0.4406
Centris tarsata,mangal_929,0.3144
Centris trigonoides,mangal_929,0.40380000000000005
Epicharis,mangal_929,0.4164
Xylocopa,mangal_929,0.4274
Xylocopa grisescens,mangal_929,0.4433
Banisteriopsis muricata,mangal_929,0.25880000000000003
Banisteriopsis schizoptera,mangal_929,0.37039999999999995
Banisteriopsis stellaris,mangal_929,0.372
Byrsonima gardnerana,mangal_929,0.3319
Carolus chasei,mangal_929,0.3657
Dicella bracteosa,mangal_929,0.35729999999999995
Diplopterys pubipetala,mangal_929,0.2972
Heteropterys,mangal_929,0.29290000000000005
Janusia anisandra,mangal_929,0.38880000000000003
Stigmaphyllon auriculatum,mangal_929,0.37939999999999996
Stigmaphyllon ciliatum,mangal_929,0.38970000000000005
Stigmaphyllon paralias,mangal_929,0.4052
Allograpta exotica,mangal_1384,0
Calliopsis scutellaris,mangal_1384,0
Eupeodes fumipennis,mangal_1384,0
Eupeodes volucris,mangal_1384,0.44320000000000004
Halictus ligatus,mangal_1384,0.41679999999999995
Helophilus latifrons,mangal_1384,0.42310000000000003
Lasioglossum diversopunctatum,mangal_1384,0.4184
Melissodes agilis,mangal_1384,0.4154
Melissodes robustior,mangal_1384,0.4172
Sphaerophoria contigua,mangal_1384,0.4172
Syritta pipiens,mangal_1384,0.38970000000000005
Toxomerus marginatus,mangal_1384,0.4154
Eriogonum fasciculatum,mangal_1384,0.23250000000000004
Heliotropium curassavicum,mangal_1384,0.37529999999999997
Heteromeles arbutifolia,mangal_1384,0.4024
Sambucus mexicana,mangal_1384,0.3227
Allograpta exotica,mangal_1388,0
Cheilosia aenea,mangal_1388,0
Eupeodes fumipennis,mangal_1388,0
Eupeodes volucris,mangal_1388,0.41059999999999997
Halictus ligatus,mangal_1388,0.3861
Halictus tripartitus,mangal_1388,0.37949999999999995
Helophilus latifrons,mangal_1388,0.4205
Lasioglossum incompletum,mangal_1388,0.3681
Lasioglossum sisymbrii,mangal_1388,0.4627
Megachile onobrychidis,mangal_1388,0.41759999999999997
Melissodes lupina,mangal_1388,0.44430000000000003
Sphaerophoria contigua,mangal_1388,0.42179999999999995
Sphaerophoria sulphuripes,mangal_1388,0.3809
Brassica,mangal_1388,0.38260000000000005
Convolvulus arvensis,mangal_1388,0.19230000000000003
Helminthotheca echioides,mangal_1388,0.33930000000000005
Rosa californica,mangal_1388,0.42900000000000005
Andrena cerasifolii,mangal_1387,0
Ceratina acantha,mangal_1387,0
Eupeodes fumipennis,mangal_1387,0
Eupeodes volucris,mangal_1387,0.42579999999999996
Halictus tripartitus,mangal_1387,0.42010000000000003
Helophilus latifrons,mangal_1387,0.4246
Lasioglossum incompletum,mangal_1387,0.40449999999999997
Platycheirus stegnus,mangal_1387,0.42279999999999995
Scaeva pyrastri,mangal_1387,0.3487
Sphaerophoria sulphuripes,mangal_1387,0.4313
Syrphus opinator,mangal_1387,0.4216
Toxomerus marginatus,mangal_1387,0.4226
Brassica,mangal_1387,0.28890000000000005
Convolvulus arvensis,mangal_1387,0.32530000000000003
Helminthotheca echioides,mangal_1387,0.42889999999999995
Heteromeles arbutifolia,mangal_1387,0.2743
Rhamnus californica,mangal_1387,0.3548
Sambucus mexicana,mangal_1387,0.3409
Ceratina dallatorreana,mangal_1361,0
Eupeodes fumipennis,mangal_1361,0
Halictus ligatus,mangal_1361,0
Halictus tripartitus,mangal_1361,0.38180000000000003
Lasioglossum incompletum,mangal_1361,0.35919999999999996
Megachile apicalis,mangal_1361,0.4162
Paragus haemorrhous,mangal_1361,0.42490000000000006
Scaeva pyrastri,mangal_1361,0.4192
Sphaerophoria contigua,mangal_1361,0.41979999999999995
Sphaerophoria sulphuripes,mangal_1361,0.4273
Toxomerus marginatus,mangal_1361,0.44589999999999996
Brassica,mangal_1361,0.2197
Centaurea solstitialis,mangal_1361,0.365
Convolvulus arvensis,mangal_1361,0.33330000000000004
Allograpta exotica,mangal_1389,0
Allograpta obliqua,mangal_1389,0
Andrena candida,mangal_1389,0
Ceratina dallatorreana,mangal_1389,0.4437
Ceratina nanula,mangal_1389,0.4274
Cheilosia aenea,mangal_1389,0.40959999999999996
Diadasia enavata,mangal_1389,0.43679999999999997
Eupeodes fumipennis,mangal_1389,0.43720000000000003
Halictus ligatus,mangal_1389,0.349
Halictus tripartitus,mangal_1389,0.38660000000000005
Lasioglossum incompletum,mangal_1389,0.3295
Lasioglossum megastictum,mangal_1389,0.42700000000000005
Megachile apicalis,mangal_1389,0.41600000000000004
Melissodes agilis,mangal_1389,0.44299999999999995
Melissodes lupina,mangal_1389,0.40669999999999995
Paragus haemorrhous,mangal_1389,0.33440000000000003
Platycheirus stegnus,mangal_1389,0.4507
Sphaerophoria sulphuripes,mangal_1389,0.43600000000000005
Syritta pipiens,mangal_1389,0.4465
Toxomerus marginatus,mangal_1389,0.4497
Atriplex lentiformis,mangal_1389,0.4202
Baccharis salicifolia,mangal_1389,0.39149999999999996
Brassica,mangal_1389,0.41600000000000004
Centaurea solstitialis,mangal_1389,0.31020000000000003
Convolvulus arvensis,mangal_1389,0.2538
Eriogonum fasciculatum,mangal_1389,0.34850000000000003
Helminthotheca echioides,mangal_1389,0.3598
Heteromeles arbutifolia,mangal_1389,0.3911
Lactuca serriola,mangal_1389,0.3729
Sambucus mexicana,mangal_1389,0.3637
Allograpta obliqua,mangal_1407,0
Cheilosia aenea,mangal_1407,0
Eupeodes fumipennis,mangal_1407,0
Halictus ligatus,mangal_1407,0.40690000000000004
Lasioglossum incompletum,mangal_1407,0.3788
Platycheirus stegnus,mangal_1407,0.4303
Toxomerus marginatus,mangal_1407,0.4091
Brassica,mangal_1407,0.41900000000000004
Convolvulus arvensis,mangal_1407,0.25370000000000004
Sambucus mexicana,mangal_1407,0.3649
Ceratina arizonensis,mangal_1321,0
Ceratina dallatorreana,mangal_1321,0
Ceratina nanula,mangal_1321,0
Ceratina timberlakei,mangal_1321,0.4514
Eristalis stipator,mangal_1321,0.43379999999999996
