species,network_id,prob_excl_saavedra
Apis mellifera,mangal_929,0.39647
Centris,mangal_929,0.42557
Centris aenea,mangal_929,0.29616
Centris caxiensis,mangal_929,0.33148999999999995
Centris flavifrons,mangal_929,0.35616000000000003
Centris fuscata,mangal_929,0.29691999999999996
Centris obsoleta,mangal_929,0.44121
Centris tarsata,mangal_929,0.32819
Centris trigonoides,mangal_929,0.40905
Epicharis,mangal_929,0.40952999999999995
Xylocopa,mangal_929,0.42618999999999996
Xylocopa grisescens,mangal_929,0.44245
Banisteriopsis muricata,mangal_929,0.29956000000000005
Banisteriopsis schizoptera,mangal_929,0.38788
Banisteriopsis stellaris,mangal_929,0.38858000000000004
Byrsonima gardnerana,mangal_929,0.36285999999999996
Carolus chasei,mangal_929,0.38837
Dicella bracteosa,mangal_929,0.37309000000000003
Diplopterys pubipetala,mangal_929,0.33052000000000004
Heteropterys,mangal_929,0.32806
Janusia anisandra,mangal_929,0.40373000000000003
Stigmaphyllon auriculatum,mangal_929,0.39159999999999995
Stigmaphyllon ciliatum,mangal_929,0.40591
Stigmaphyllon paralias,mangal_929,0.42215
Allograpta exotica,mangal_1384,0.38444
Calliopsis scutellaris,mangal_1384,0.43945999999999996
Eupeodes fumipennis,mangal_1384,0.41291999999999995
Eupeodes volucris,mangal_1384,0.43835999999999997
Halictus ligatus,mangal_1384,0.41607000000000005
Helophilus latifrons,mangal_1384,0.41367
Lasioglossum diversopunctatum,mangal_1384,0.41533
Melissodes agilis,mangal_1384,0.41406
Melissodes robustior,mangal_1384,0.41478000000000004
Sphaerophoria contigua,mangal_1384,0.41403999999999996
Syritta pipiens,mangal_1384,0.38695
Toxomerus marginatus,mangal_1384,0.41455
Eriogonum fasciculatum,mangal_1384,0.24712
Heliotropium curassavicum,mangal_1384,0.40098999999999996
Heteromeles arbutifolia,mangal_1384,0.43257
Sambucus mexicana,mangal_1384,0.37627999999999995
Allograpta exotica,mangal_1388,0.42233
Cheilosia aenea,mangal_1388,0.42178000000000004
Eupeodes fumipennis,mangal_1388,0.39964
Eupeodes volucris,mangal_1388,0.42235
Halictus ligatus,mangal_1388,0.38956
Halictus tripartitus,mangal_1388,0.39225
Helophilus latifrons,mangal_1388,0.41877
Lasioglossum incompletum,mangal_1388,0.37289000000000005
Lasioglossum sisymbrii,mangal_1388,0.44565
Megachile onobrychidis,mangal_1388,0.42266000000000004
Melissodes lupina,mangal_1388,0.43691
Sphaerophoria contigua,mangal_1388,0.41994
Sphaerophoria sulphuripes,mangal_1388,0.39393999999999996
Brassica,mangal_1388,0.40906
Convolvulus arvensis,mangal_1388,0.23423000000000005
Helminthotheca echioides,mangal_1388,0.33681000000000005
Rosa californica,mangal_1388,0.43167
Andrena cerasifolii,mangal_1387,0.39110999999999996
Ceratina acantha,mangal_1387,0.42574
Eupeodes fumipennis,mangal_1387,0.35007999999999995
Eupeodes volucris,mangal_1387,0.42232000000000003
Halictus tripartitus,mangal_1387,0.42789999999999995
Helophilus latifrons,mangal_1387,0.42274
Lasioglossum incompletum,mangal_1387,0.39747
Platycheirus stegnus,mangal_1387,0.42423
Scaeva pyrastri,mangal_1387,0.36028000000000004
Sphaerophoria sulphuripes,mangal_1387,0.41959
Syrphus opinator,mangal_1387,0.42156000000000005
Toxomerus marginatus,mangal_1387,0.42327000000000004
Brassica,mangal_1387,0.31762
Convolvulus arvensis,mangal_1387,0.34436
Helminthotheca echioides,mangal_1387,0.42627000000000004
Heteromeles arbutifolia,mangal_1387,0.3297
Rhamnus californica,mangal_1387,0.38715
Sambucus mexicana,mangal_1387,0.38378999999999996
Ceratina dallatorreana,mangal_1361,0.43471000000000004
Eupeodes fumipennis,mangal_1361,0.42193
Halictus ligatus,mangal_1361,0.39151
Halictus tripartitus,mangal_1361,0.38653000000000004
Lasioglossum incompletum,mangal_1361,0.36066
Megachile apicalis,mangal_1361,0.41717000000000004
Paragus haemorrhous,mangal_1361,0.41830999999999996
Scaeva pyrastri,mangal_1361,0.41618
Sphaerophoria contigua,mangal_1361,0.41651000000000005
Sphaerophoria sulphuripes,mangal_1361,0.41913
Toxomerus marginatus,mangal_1361,0.43876000000000004
Brassica,mangal_1361,0.24953000000000003
Centaurea solstitialis,mangal_1361,0.3974
Convolvulus arvensis,mangal_1361,0.35109
Allograpta exotica,mangal_1389,0.42922000000000005
Allograpta obliqua,mangal_1389,0.44028999999999996
Andrena candida,mangal_1389,0.44530000000000003
Ceratina dallatorreana,mangal_1389,0.43548
Ceratina nanula,mangal_1389,0.43072
Cheilosia aenea,mangal_1389,0.40059
Diadasia enavata,mangal_1389,0.43696
Eupeodes fumipennis,mangal_1389,0.44203000000000003
Halictus ligatus,mangal_1389,0.33962000000000003
Halictus tripartitus,mangal_1389,0.37692000000000003
Lasioglossum incompletum,mangal_1389,0.31584999999999996
Lasioglossum megastictum,mangal_1389,0.42913
Megachile apicalis,mangal_1389,0.41213
Melissodes agilis,mangal_1389,0.43316
Melissodes lupina,mangal_1389,0.40689
Paragus haemorrhous,mangal_1389,0.33953
Platycheirus stegnus,mangal_1389,0.44384
Sphaerophoria sulphuripes,mangal_1389,0.42900000000000005
Syritta pipiens,mangal_1389,0.44166000000000005
Toxomerus marginatus,mangal_1389,0.43478000000000006
Atriplex lentiformis,mangal_1389,0.42222000000000004
Baccharis salicifolia,mangal_1389,0.41518
Brassica,mangal_1389,0.42513
Centaurea solstitialis,mangal_1389,0.30940999999999996
Convolvulus arvensis,mangal_1389,0.26839
Eriogonum fasciculatum,mangal_1389,0.33440000000000003
Helminthotheca echioides,mangal_1389,0.35324
Heteromeles arbutifolia,mangal_1389,0.38607
Lactuca serriola,mangal_1389,0.37116000000000005
Sambucus mexicana,mangal_1389,0.38859999999999995
Allograpta obliqua,mangal_1407,0.41249
Cheilosia aenea,mangal_1407,0.41327
Eupeodes fumipennis,mangal_1407,0.43239000000000005
Halictus ligatus,mangal_1407,0.41171
Lasioglossum incompletum,mangal_1407,0.38177000000000005
Platycheirus stegnus,mangal_1407,0.43174
Toxomerus marginatus,mangal_1407,0.41113
Brassica,mangal_1407,0.42257999999999996
Convolvulus arvensis,mangal_1407,0.30400000000000005
Sambucus mexicana,mangal_1407,0.40176
Ceratina arizonensis,mangal_1321,0.43182
Ceratina dallatorreana,mangal_1321,0.42911999999999995
Ceratina nanula,mangal_1321,0.35538000000000003
Ceratina timberlakei,mangal_1321,0.44550999999999996
Eristalis stipator,mangal_1321,0.4294
Eupeodes fumipennis,mangal_1321,0.42567
Eupeodes volucris,mangal_1321,0.43394999999999995
Halictus ligatus,mangal_1321,0.43138
Halictus tripartitus,mangal_1321,0.37446
Helophilus latifrons,mangal_1321,0.38141
Lasioglossum incompletum,mangal_1321,0.34099
Melissodes lupina,mangal_1321,0.43378000000000005
Platycheirus stegnus,mangal_1321,0.43384
Sphaerophoria contigua,mangal_1321,0.43355
Sphaerophoria sulphuripes,mangal_1321,0.43121
Syritta pipiens,mangal_1321,0.43099
Toxomerus marginatus,mangal_1321,0.36536
Toxomerus occidentalis,mangal_1321,0.43167
Brassica,mangal_1321,0.29947999999999997
Carduus pycnocephalus,mangal_1321,0.42669999999999997
Convolvulus arvensis,mangal_1321,0.26661999999999997
Datura wrightii,mangal_1321,0.37354
Helminthotheca echioides,mangal_1321,0.42147
Lepidium latifolium,mangal_1321,0.28844000000000003
Rubus rigidus,mangal_1321,0.43145999999999995
Ceratina dallatorreana,mangal_1393,0.43148
Diadasia enavata,mangal_1393,0.41008
Eristalis stipator,mangal_1393,0.42661000000000004
Eupeodes volucris,mangal_1393,0.42749000000000004
Halictus ligatus,mangal_1393,0.37038000000000004
Halictus tripartitus,mangal_1393,0.33440000000000003
Helophilus latifrons,mangal_1393,0.39434
Lasioglossum diversopunctatum,mangal_1393,0.39008
Lasioglossum incompletum,mangal_1393,0.36228000000000005
Megachile apicalis,mangal_1393,0.42837000000000003
Melissodes lupina,mangal_1393,0.4302
Paragus haemorrhous,mangal_1393,0.42716
Platycheirus stegnus,mangal_1393,0.42604
Sphaerophoria sulphuripes,mangal_1393,0.44442000000000004
Toxomerus marginatus,mangal_1393,0.39907000000000004
Toxomerus occidentalis,mangal_1393,0.44221
Brassica,mangal_1393,0.29107000000000005
Centaurea solstitialis,mangal_1393,0.32965999999999995
Convolvulus arvensis,mangal_1393,0.3196
Grindelia camporum,mangal_1393,0.39809000000000005
Helminthotheca echioides,mangal_1393,0.32304999999999995
Raphanus raphanistrum,mangal_1393,0.39931000000000005
Trifolium pratense,mangal_1393,0.43294
Diadasia consociata,mangal_1345,0.42344000000000004
Eupeodes fumipennis,mangal_1345,0.41791
Eupeodes volucris,mangal_1345,0.41656000000000004
Halictus tripartitus,mangal_1345,0.42352999999999996
Lasioglossum diversopunctatum,mangal_1345,0.42159
Lasioglossum incompletum,mangal_1345,0.34385
Platycheirus stegnus,mangal_1345,0.41677
Sphaerophoria contigua,mangal_1345,0.41503999999999996
Syrphus opinator,mangal_1345,0.41816
Toxomerus marginatus,mangal_1345,0.42322000000000004
Brassica,mangal_1345,0.28888
Convolvulus arvensis,mangal_1345,0.31033
Medicago sativa,mangal_1345,0.41690000000000005
Eupeodes fumipennis,mangal_1402,0.34486000000000006
Eupeodes volucris,mangal_1402,0.37934999999999997
Megachile angelarum,mangal_1402,0.42172
Paragus haemorrhous,mangal_1402,0.38858000000000004
Platycheirus stegnus,mangal_1402,0.41103999999999996
Brassica,mangal_1402,0.34014
