species,network_id,prob_excl_saavedra
Apis mellifera,mangal_929,0
Centris,mangal_929,0
Centris aenea,mangal_929,0
Centris caxiensis,mangal_929,0
Centris flavifrons,mangal_929,0
Centris fuscata,mangal_929,0
Centris obsoleta,mangal_929,0
Centris tarsata,mangal_929,0
Centris trigonoides,mangal_929,0
Epicharis,mangal_929,0
Xylocopa,mangal_929,0
Xylocopa grisescens,mangal_929,0
Banisteriopsis muricata,mangal_929,0
Banisteriopsis schizoptera,mangal_929,0
Banisteriopsis stellaris,mangal_929,0
Byrsonima gardnerana,mangal_929,0
Carolus chasei,mangal_929,0
Dicella bracteosa,mangal_929,0
Diplopterys pubipetala,mangal_929,0
Heteropterys,mangal_929,0
Janusia anisandra,mangal_929,0
Stigmaphyllon auriculatum,mangal_929,0
Stigmaphyllon ciliatum,mangal_929,0
Stigmaphyllon paralias,mangal_929,0
Allograpta exotica,mangal_1384,0
Calliopsis scutellaris,mangal_1384,9.99999999995449e-6
Eupeodes fumipennis,mangal_1384,0
Eupeodes volucris,mangal_1384,0
Halictus ligatus,mangal_1384,0
Helophilus latifrons,mangal_1384,0
Lasioglossum diversopunctatum,mangal_1384,0
Melissodes agilis,mangal_1384,0
Melissodes robustior,mangal_1384,0
Sphaerophoria contigua,mangal_1384,0
Syritta pipiens,mangal_1384,0
Toxomerus marginatus,mangal_1384,0
Eriogonum fasciculatum,mangal_1384,0
Heliotropium curassavicum,mangal_1384,0
Heteromeles arbutifolia,mangal_1384,0
Sambucus mexicana,mangal_1384,0
Allograpta exotica,mangal_1388,0
Cheilosia aenea,mangal_1388,0
Eupeodes fumipennis,mangal_1388,0
Eupeodes volucris,mangal_1388,0
Halictus ligatus,mangal_1388,0
Halictus tripartitus,mangal_1388,0
Helophilus latifrons,mangal_1388,0
Lasioglossum incompletum,mangal_1388,0
Lasioglossum sisymbrii,mangal_1388,5.999999999994898e-5
Megachile onobrychidis,mangal_1388,0
Melissodes lupina,mangal_1388,0
Sphaerophoria contigua,mangal_1388,0
Sphaerophoria sulphuripes,mangal_1388,0
Brassica,mangal_1388,0
Convolvulus arvensis,mangal_1388,0
Helminthotheca echioides,mangal_1388,0
Rosa californica,mangal_1388,0
Andrena cerasifolii,mangal_1387,0
Ceratina acantha,mangal_1387,0
Eupeodes fumipennis,mangal_1387,0
Eupeodes volucris,mangal_1387,0
Halictus tripartitus,mangal_1387,0
Helophilus latifrons,mangal_1387,0
Lasioglossum incompletum,mangal_1387,0
Platycheirus stegnus,mangal_1387,0
Scaeva pyrastri,mangal_1387,0
Sphaerophoria sulphuripes,mangal_1387,0
Syrphus opinator,mangal_1387,0
Toxomerus marginatus,mangal_1387,0
Brassica,mangal_1387,0
Convolvulus arvensis,mangal_1387,0
Helminthotheca echioides,mangal_1387,0
Heteromeles arbutifolia,mangal_1387,0
Rhamnus californica,mangal_1387,0
Sambucus mexicana,mangal_1387,0
Ceratina dallatorreana,mangal_1361,0
Eupeodes fumipennis,mangal_1361,0
Halictus ligatus,mangal_1361,0
Halictus tripartitus,mangal_1361,0
Lasioglossum incompletum,mangal_1361,0
Megachile apicalis,mangal_1361,0
Paragus haemorrhous,mangal_1361,0
Scaeva pyrastri,mangal_1361,0
Sphaerophoria contigua,mangal_1361,0
Sphaerophoria sulphuripes,mangal_1361,0
Toxomerus marginatus,mangal_1361,0
Brassica,mangal_1361,0
Centaurea solstitialis,mangal_1361,0
Convolvulus arvensis,mangal_1361,0
Allograpta exotica,mangal_1389,0
Allograpta obliqua,mangal_1389,1.7000000000000348e-4
Andrena candida,mangal_1389,0.0015800000000000258
Ceratina dallatorreana,mangal_1389,0
Ceratina nanula,mangal_1389,0
Cheilosia aenea,mangal_1389,0
Diadasia enavata,mangal_1389,0
Eupeodes fumipennis,mangal_1389,1.7999999999995797e-4
Halictus ligatus,mangal_1389,0
Halictus tripartitus,mangal_1389,0
Lasioglossum incompletum,mangal_1389,0
Lasioglossum megastictum,mangal_1389,0
Megachile apicalis,mangal_1389,0
Melissodes agilis,mangal_1389,0
Melissodes lupina,mangal_1389,0
Paragus haemorrhous,mangal_1389,0
Platycheirus stegnus,mangal_1389,0.0010499999999999954
Sphaerophoria sulphuripes,mangal_1389,0
Syritta pipiens,mangal_1389,1.60000000000049e-4
Toxomerus marginatus,mangal_1389,0
Atriplex lentiformis,mangal_1389,0
Baccharis salicifolia,mangal_1389,0
Brassica,mangal_1389,0
Centaurea solstitialis,mangal_1389,0
Convolvulus arvensis,mangal_1389,0
Eriogonum fasciculatum,mangal_1389,0
Helminthotheca echioides,mangal_1389,0
Heteromeles arbutifolia,mangal_1389,0
Lactuca serriola,mangal_1389,0
Sambucus mexicana,mangal_1389,0
Allograpta obliqua,mangal_1407,0
Cheilosia aenea,mangal_1407,0
Eupeodes fumipennis,mangal_1407,0
Halictus ligatus,mangal_1407,0
Lasioglossum incompletum,mangal_1407,0
Platycheirus stegnus,mangal_1407,0
Toxomerus marginatus,mangal_1407,0
Brassica,mangal_1407,0
Convolvulus arvensis,mangal_1407,0
Sambucus mexicana,mangal_1407,0
Ceratina arizonensis,mangal_1321,0
Ceratina dallatorreana,mangal_1321,0
Ceratina nanula,mangal_1321,0
Ceratina timberlakei,mangal_1321,0.0025199999999999667
Eristalis stipator,mangal_1321,0
Eupeodes fumipennis,mangal_1321,0
Eupeodes volucris,mangal_1321,0
Halictus ligatus,mangal_1321,0
Halictus tripartitus,mangal_1321,0
Helophilus latifrons,mangal_1321,0
Lasioglossum incompletum,mangal_1321,0
Melissodes lupina,mangal_1321,0
Platycheirus stegnus,mangal_1321,0
Sphaerophoria contigua,mangal_1321,0
Sphaerophoria sulphuripes,mangal_1321,0
Syritta pipiens,mangal_1321,0
Toxomerus marginatus,mangal_1321,0
Toxomerus occidentalis,mangal_1321,0
Brassica,mangal_1321,0
Carduus pycnocephalus,mangal_1321,0
Convolvulus arvensis,mangal_1321,0
Datura wrightii,mangal_1321,0
Helminthotheca echioides,mangal_1321,0
Lepidium latifolium,mangal_1321,0
Rubus rigidus,mangal_1321,0
Ceratina dallatorreana,mangal_1393,0
Diadasia enavata,mangal_1393,0
Eristalis stipator,mangal_1393,0
Eupeodes volucris,mangal_1393,0
Halictus ligatus,mangal_1393,0
Halictus tripartitus,mangal_1393,0
