network_id,node_from,node_to,link_type,link_direction,link_value,link_units
mangal_929,mangal_node_2250,mangal_node_2261,mutualism,directed,1368,visits
mangal_929,mangal_node_2250,mangal_node_2262,mutualism,directed,924,visits
mangal_929,mangal_node_2250,mangal_node_2263,mutualism,directed,396,visits
mangal_929,mangal_node_2250,mangal_node_2264,mutualism,directed,764,visits
mangal_929,mangal_node_2250,mangal_node_2264,mutualism,directed,740,visits
mangal_929,mangal_node_2250,mangal_node_2265,mutualism,directed,556,visits
mangal_929,mangal_node_2250,mangal_node_2266,mutualism,directed,604,visits
mangal_929,mangal_node_2250,mangal_node_2267,mutualism,directed,504,visits
mangal_929,mangal_node_2250,mangal_node_2268,mutualism,directed,292,visits
mangal_929,mangal_node_2250,mangal_node_2269,mutualism,directed,228,visits
mangal_929,mangal_node_2250,mangal_node_2270,mutualism,directed,240,visits
mangal_929,mangal_node_2250,mangal_node_2271,mutualism,directed,268,visits
mangal_929,mangal_node_2250,mangal_node_2272,mutualism,directed,188,visits
mangal_929,mangal_node_2251,mangal_node_2261,mutualism,directed,1364,visits
mangal_929,mangal_node_2251,mangal_node_2262,mutualism,directed,320,visits
mangal_929,mangal_node_2251,mangal_node_2263,mutualism,directed,468,visits
mangal_929,mangal_node_2251,mangal_node_2264,mutualism,directed,680,visits
mangal_929,mangal_node_2251,mangal_node_2264,mutualism,directed,656,visits
mangal_929,mangal_node_2251,mangal_node_2265,mutualism,directed,512,visits
mangal_929,mangal_node_2251,mangal_node_2266,mutualism,directed,452,visits
mangal_929,mangal_node_2251,mangal_node_2267,mutualism,directed,816,visits
mangal_929,mangal_node_2251,mangal_node_2268,mutualism,directed,300,visits
mangal_929,mangal_node_2251,mangal_node_2269,mutualism,directed,224,visits
mangal_929,mangal_node_2251,mangal_node_2270,mutualism,directed,164,visits
mangal_929,mangal_node_2251,mangal_node_2271,mutualism,directed,196,visits
mangal_929,mangal_node_2251,mangal_node_2272,mutualism,directed,244,visits
mangal_929,mangal_node_2252,mangal_node_2261,mutualism,directed,740,visits
mangal_929,mangal_node_2252,mangal_node_2262,mutualism,directed,2108,visits
mangal_929,mangal_node_2252,mangal_node_2263,mutualism,directed,108,visits
mangal_929,mangal_node_2252,mangal_node_2264,mutualism,directed,528,visits
mangal_929,mangal_node_2252,mangal_node_2264,mutualism,directed,528,visits
mangal_929,mangal_node_2252,mangal_node_2265,mutualism,directed,356,visits
mangal_929,mangal_node_2252,mangal_node_2266,mutualism,directed,432,visits
mangal_929,mangal_node_2252,mangal_node_2268,mutualism,directed,244,visits
mangal_929,mangal_node_2252,mangal_node_2269,mutualism,directed,124,visits
mangal_929,mangal_node_2252,mangal_node_2270,mutualism,directed,68,visits
mangal_929,mangal_node_2253,mangal_node_2261,mutualism,directed,460,visits
mangal_929,mangal_node_2253,mangal_node_2262,mutualism,directed,464,visits
mangal_929,mangal_node_2253,mangal_node_2263,mutualism,directed,140,visits
mangal_929,mangal_node_2253,mangal_node_2264,mutualism,directed,308,visits
mangal_929,mangal_node_2253,mangal_node_2264,mutualism,directed,332,visits
mangal_929,mangal_node_2253,mangal_node_2265,mutualism,directed,132,visits
mangal_929,mangal_node_2253,mangal_node_2266,mutualism,directed,200,visits
mangal_929,mangal_node_2253,mangal_node_2268,mutualism,directed,116,visits
mangal_929,mangal_node_2253,mangal_node_2269,mutualism,directed,120,visits
mangal_929,mangal_node_2253,mangal_node_2272,mutualism,directed,96,visits
mangal_929,mangal_node_2254,mangal_node_2261,mutualism,directed,416,visits
mangal_929,mangal_node_2254,mangal_node_2263,mutualism,directed,272,visits
mangal_929,mangal_node_2254,mangal_node_2264,mutualism,directed,404,visits
mangal_929,mangal_node_2254,mangal_node_2265,mutualism,directed,524,visits
mangal_929,mangal_node_2254,mangal_node_2270,mutualism,directed,196,visits
mangal_929,mangal_node_2254,mangal_node_2271,mutualism,directed,164,visits
mangal_929,mangal_node_2255,mangal_node_2261,mutualism,directed,256,visits
mangal_929,mangal_node_2255,mangal_node_2263,mutualism,directed,652,visits
