node_id,taxonomy_name,taxonomy_rank
mangal_node_0084,Ichneumonidae,family
mangal_node_0087,Braconidae,family
mangal_node_0089,Apis mellifera,species
mangal_node_0107,Salix,genus
mangal_node_0210,Taraxacum officinale,species
mangal_node_0982,Achillea millefolium,species
mangal_node_0998,Anthemis cotula,species
mangal_node_1029,Capsella bursa-pastoris,species
mangal_node_1114,Helianthus annuus,species
mangal_node_1165,Marrubium vulgare,species
mangal_node_1167,Melilotus albus,species
mangal_node_1209,Persicaria lapathifolia lapathifolia,infraspecies
mangal_node_1304,Trifolium pratense,species
mangal_node_1333,Agapostemon texanus,species
mangal_node_1426,Tropidia quadrata,species
mangal_node_1427,Helophilus latifrons,species
mangal_node_1609,Melissodes agilis,species
mangal_node_1626,Vanessa atalanta,species
mangal_node_1660,Eristalis tenax,species
mangal_node_1991,Solanum americanum,species
mangal_node_2141,Halictus rubicundus,species
mangal_node_2146,Osmia lignaria,species
mangal_node_2151,Sphaerophoria,genus
mangal_node_2174,Halictus confusus,species
mangal_node_2179,Osmia proxima,species
mangal_node_2185,Sphecodes,genus
mangal_node_2186,Syritta pipiens,species
mangal_node_2250,Centris aenea,species
mangal_node_2251,Centris fuscata,species
mangal_node_2252,Centris caxiensis,species
mangal_node_2253,Centris tarsata,species
mangal_node_2254,Centris flavifrons,species
mangal_node_2255,Centris trigonoides,species
mangal_node_2256,Centris obsoleta,species
mangal_node_2257,Epicharis,genus
mangal_node_2258,Centris,genus
mangal_node_2259,Xylocopa,genus
mangal_node_2260,Xylocopa grisescens,species
mangal_node_2261,Diplopterys pubipetala,species
mangal_node_2262,Byrsonima gardnerana,NA
mangal_node_2263,Banisteriopsis muricata,species
mangal_node_2264,Heteropterys,genus
mangal_node_2265,Dicella bracteosa,species
mangal_node_2266,Carolus chasei,species
mangal_node_2267,Stigmaphyllon paralias,species
mangal_node_2268,Banisteriopsis stellaris,species
mangal_node_2269,Banisteriopsis schizoptera,species
mangal_node_2270,Stigmaphyllon auriculatum,species
mangal_node_2271,Stigmaphyllon ciliatum,species
mangal_node_2272,Janusia anisandra,species
mangal_node_2515,Lotus corniculatus,species
mangal_node_2542,Ornidia obesa,species
mangal_node_2545,Megachile,genus
mangal_node_2802,Papilio machaon,species
mangal_node_2815,Lasioglossum,genus
mangal_node_2866,Nomada,genus
mangal_node_3087,Osmia,genus
mangal_node_3094,Platycheirus obscurus,species
mangal_node_3118,Erodium cicutarium,species
mangal_node_3159,Tachinidae,family
mangal_node_3161,Hymenoptera,order
mangal_node_3165,Bibionidae,family
mangal_node_3166,Coleoptera,order
mangal_node_3189,Anthophora,genus
mangal_node_3198,Colletes,genus
mangal_node_3200,Muscidae,family
mangal_node_3232,Syrphidae,family
mangal_node_3240,Pieris rapae,species
mangal_node_3255,Andrena,genus
mangal_node_3275,Galactites tomentosa,species
mangal_node_3281,Cistus monspeliensis,species
mangal_node_3290,Raphanus raphanistrum,species
mangal_node_3635,Malva parviflora,species
mangal_node_3636,Brassica,genus
mangal_node_3638,Eupeodes fumipennis,species
mangal_node_3639,Bombus melanopygus,species
mangal_node_3640,Lactuca serriola,species
mangal_node_3641,Convolvulus arvensis,species
mangal_node_3642,Paragus haemorrhous,species
mangal_node_3643,Halictus tripartitus,species
mangal_node_3644,Scaeva pyrastri,species
mangal_node_3645,Syritta flaviventris,species
mangal_node_3646,Cheilosia aenea,species
mangal_node_3647,Centaurea solstitialis,species
mangal_node_3648,Lasioglossum incompletum,species
mangal_node_3649,Toxomerus marginatus,species
mangal_node_3650,Sphaerophoria contigua,species
mangal_node_3651,Helminthotheca echioides,species
mangal_node_3652,Halictus ligatus,species
mangal_node_3653,Syrphus opinator,species
mangal_node_3654,Eupeodes volucris,species
mangal_node_3656,Sphaerophoria sulphuripes,species
mangal_node_3657,Sphaerophoria pyrrhina,species
mangal_node_3659,Salvia,genus
mangal_node_3660,Eschscholzia californica,species
mangal_node_3661,Ceanothus,genus
mangal_node_3663,Ceriana tridens,species
mangal_node_3664,Megachile onobrychidis,NA
