node_id,taxonomy_name,taxonomy_rank,kingdom
mangal_node_0001,Arnica angustifolia alpina,infraspecies,Plantae
mangal_node_0003,Cassiope tetragona,species,Plantae
mangal_node_0004,Cerastium alpinum,species,Plantae
mangal_node_0009,Dryas integrifolia,species,Plantae
mangal_node_0013,Papaver radicatum,species,Plantae
mangal_node_0017,Bistorta affinis,species,Plantae
mangal_node_0023,Saxifraga oppositifolia,species,Plantae
mangal_node_0025,Silene acaulis,species,Plantae
mangal_node_0036,Colias hecla,species,Animalia
mangal_node_0038,Chironomidae,family,Animalia
mangal_node_0040,Corynoneura scutellata,species,Animalia
mangal_node_0044,Heterotrissocladius subpilosus,species,Animalia
mangal_node_0053,Smittia,genus,Animalia
mangal_node_0057,Micropsectra,genus,Animalia
mangal_node_0064,Bradysia,genus,Animalia
mangal_node_0065,Rhamphomyia,genus,Animalia
mangal_node_0072,Spilogona,genus,Animalia
mangal_node_0074,Spilogona dorsata,species,Animalia
mangal_node_0075,Spilogona latilamina,species,Animalia
mangal_node_0076,Spilogona melanosoma,species,Animalia
mangal_node_0077,Spilogona sanctipauli,species,Animalia
mangal_node_0080,Protophormia atriceps,species,Animalia
mangal_node_0090,NA,NA,NA
mangal_node_0098,Delia,genus,Animalia
mangal_node_0103,Lasiomma,genus,Animalia
mangal_node_0113,Rhododendron lapponicum,species,Plantae
mangal_node_0115,Phaonia alpicola,species,Animalia
mangal_node_0116,Limnophyes ninae,species,Animalia
mangal_node_0117,Megaselia diversa,species,Animalia
mangal_node_0118,Megaselia,genus,Animalia
mangal_node_0119,Megaselia digitalis,species,Animalia
mangal_node_0120,Chloropinae,NA,Animalia
mangal_node_0121,Allopiophila vulgaris,species,Animalia
mangal_node_0122,Aclastus,genus,Animalia
mangal_node_0123,Micropsectra radialis,species,Animalia
mangal_node_0124,Noctuidae,family,Animalia
mangal_node_0125,Arpedium,genus,Animalia
mangal_node_0126,Mycomya fuscata,species,Animalia
mangal_node_0127,Oliveridia tricornis,species,Animalia
mangal_node_0128,Phaonia subfuscinervis,species,Animalia
mangal_node_0129,Podabrus,genus,Animalia
mangal_node_0130,Rhamphomyia aethiops,species,Animalia
mangal_node_0131,Rhamphomyia reflexa,species,Animalia
mangal_node_0132,Cotesia,genus,Animalia
mangal_node_0133,Empis lucida,species,Animalia
mangal_node_0134,Limnephilus harrimani,species,Animalia
mangal_node_0135,Paradelia,genus,Animalia
mangal_node_0136,Pegoplata aestiva,species,Animalia
mangal_node_0137,Pteromalidae,family,Animalia
mangal_node_0138,Hesperia comma,species,Animalia
mangal_node_0139,Botanophila bidens,species,Animalia
mangal_node_0140,Cidaria,genus,Animalia
mangal_node_0141,Egle parva,species,Animalia
mangal_node_0142,Egle,genus,Animalia
mangal_node_0143,Camptocladius brachytomus,species,Animalia
mangal_node_0144,Limnophyes natalensis,species,Animalia
mangal_node_0145,Bradysia giraudii,species,Animalia
mangal_node_0146,Megaselia sordida,species,Animalia
mangal_node_0147,Orthocentrinae,NA,Animalia
mangal_node_0148,Phygadeuon,genus,Animalia
mangal_node_0149,Rhamphomyia morio,species,Animalia
mangal_node_0150,Thricops furcatus,species,Animalia
mangal_node_0151,Acamptocladius submontanus,species,Animalia
mangal_node_0152,Alliopsis glacialis,species,Animalia
mangal_node_0153,Allophorocera lapponica,species,Animalia
mangal_node_0154,Alysiinae,NA,Animalia
mangal_node_0155,Anarta,genus,Animalia
mangal_node_0156,Anthomyiidae,family,Animalia
mangal_node_0157,Boletina,genus,Animalia
mangal_node_0158,Bombus alpinus,species,Animalia
mangal_node_0159,Bombus hyperboreus,species,Animalia
mangal_node_0160,Bradysia giraudi,NA,Animalia
mangal_node_0161,Psila morio,species,Animalia
mangal_node_0162,Coenosia atritibia,species,Animalia
mangal_node_0163,Coenosia octopunctata,species,Animalia
mangal_node_0164,Corynoptera,genus,Animalia
mangal_node_0165,Dasineura,genus,Animalia
mangal_node_0166,Delia piliventris,species,Animalia
mangal_node_0167,Dolichopus plumipes,species,Animalia
mangal_node_0168,Egle minuta,species,Animalia
mangal_node_0169,Fannia mollissima,species,Animalia
mangal_node_0200,Dryas octopetala,species,Plantae
mangal_node_0201,Potentilla crantzii,species,Plantae
mangal_node_0202,Trollius europaeus,species,Plantae
mangal_node_0203,Pinguicula alpina,species,Plantae
mangal_node_0204,Rhodiola rosea,species,Plantae
mangal_node_0205,Diapensia lapponica,species,Plantae
mangal_node_0206,Saxifraga aizoides,species,Plantae
mangal_node_0207,Parnassia palustris,species,Plantae
mangal_node_0208,Arabis alpina,species,Plantae
mangal_node_0209,Viola biflora,species,Plantae
mangal_node_0211,Salix reticulata,species,Plantae
mangal_node_0212,Harrimanella hypnoides,species,Plantae
mangal_node_0213,Salix lanata,species,Plantae
mangal_node_0214,Antennaria alpina,species,Plantae
mangal_node_0215,Salix polaris,species,Plantae
mangal_node_0216,Astragalus alpinus,species,Plantae
mangal_node_0217,Bartsia alpina,species,Plantae
mangal_node_1084,Erigeron annuus,species,Plantae
mangal_node_1086,Erigeron philadelphicus,species,Plantae
mangal_node_1201,Plantago major,species,Plantae
mangal_node_1217,Portulaca oleracea,species,Plantae
mangal_node_1221,Prunella vulgaris,species,Plantae
mangal_node_1306,Trifolium repens,species,Plantae
mangal_node_1375,Syrphus torvus,species,Animalia
mangal_node_1429,Mallota posticata,species,Animalia
mangal_node_1466,Stomoxys calcitrans,species,Animalia
mangal_node_1517,Musca domestica,species,Animalia
mangal_node_1617,Lasius niger,species,Animalia
mangal_node_1646,Peponapis pruinosa,species,Animalia
mangal_node_1659,Triepeolus concavus,species,Animalia
mangal_node_1694,Lucilia sericata,species,Animalia
mangal_node_1757,Forcipomyia,genus,Animalia
mangal_node_1866,Pygoderma bilabiatum,species,Animalia
mangal_node_1912,Fuchsia regia,species,Plantae
mangal_node_1915,Psidium cattleianum,species,Plantae
mangal_node_2029,Bombus polaris,species,Animalia
mangal_node_2030,Boloria improba,NA,Animalia
mangal_node_2031,Spilogona projecta,species,Animalia
mangal_node_2032,Colias tyche,species,Animalia
mangal_node_2033,Protocalliphora,genus,Animalia
mangal_node_2034,Spilogona hurdiana,species,Animalia
mangal_node_2035,Potentilla vahliana,species,Plantae
mangal_node_2036,Taraxacum,genus,Plantae
mangal_node_2037,Caltha palustris,species,Plantae
mangal_node_2038,Petasites frigidus,species,Plantae
mangal_node_2039,Geum rossii,species,Plantae
mangal_node_2040,Oxytropis arctica,species,Plantae
mangal_node_2041,Bombus brasiliensis,species,Animalia
mangal_node_2042,Amazilia versicolor,species,Animalia
mangal_node_2043,Anthracothorax nigricollis,species,Animalia
mangal_node_2044,Clytolaema rubricauda,species,Animalia
mangal_node_2045,Leucochloris albicollis,species,Animalia
mangal_node_2046,Lophornis magnificus,species,Animalia
mangal_node_2047,Phaethornis eurynome,species,Animalia
mangal_node_2048,Thalurania glaucopis,species,Animalia
mangal_node_2049,Anoura caudifer,species,Animalia
mangal_node_2050,Anoura geoffroyi,species,Animalia
mangal_node_2051,Aechmea cylindrata,species,Plantae
mangal_node_2052,Vriesea altodaserrae,species,Plantae
mangal_node_2053,Nidularium campo-alegrensis,species,Plantae
mangal_node_2054,Vriesea guttata,species,Plantae
mangal_node_2055,Vriesea heterostachys,species,Plantae
mangal_node_2056,Vriesea hoehneana,species,Plantae
mangal_node_2057,Vriesea platynema,species,Plantae
mangal_node_2120,Aralia nudicaulis,species,Plantae
mangal_node_2121,Chimaphila umbellata,species,Plantae
mangal_node_2122,Clintonia borealis,species,Plantae
mangal_node_2123,Cornus canadensis,species,Plantae
mangal_node_2124,Cypripedium acaule,species,Plantae
mangal_node_2125,Linnaea borealis,species,Plantae
mangal_node_2126,Maianthemum canadense,species,Plantae
mangal_node_2127,Medeola virginiana,species,Plantae
mangal_node_2128,Oxalis montana,species,Plantae
mangal_node_2129,Orthilia secunda,species,Plantae
mangal_node_2130,Lysimachia borealis,species,Plantae
mangal_node_2131,Trillium undulatum,species,Plantae
mangal_node_2132,Andrena wheeleri,species,Animalia
mangal_node_2133,Andrena w-scripta,species,Animalia
mangal_node_2134,Bombus perplexus,species,Animalia
