"network_id";"node_from";"node_to";"link_type";"link_direction";"link_value";"link_units"
"mangal_908";"mangal_node_0104";"mangal_node_0112";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0024";"mutualism";"directed";45;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0009";"mutualism";"directed";6;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0106";"mutualism";"directed";5;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0017";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0025";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0107";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0108";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0109";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0092";"mangal_node_0009";"mutualism";"directed";2;"number of individual"
"mangal_908";"mangal_node_0092";"mangal_node_0017";"mutualism";"directed";5;"number of individual"
"mangal_908";"mangal_node_0092";"mangal_node_0010";"mutualism";"directed";2;"number of individual"
"mangal_908";"mangal_node_0092";"mangal_node_0110";"mutualism";"directed";2;"number of individual"
"mangal_908";"mangal_node_0092";"mangal_node_0111";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0091";"mangal_node_0112";"mutualism";"directed";10;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0024";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0009";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0106";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0025";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0113";"mutualism";"directed";3;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0107";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0108";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0090";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0093";"mangal_node_0024";"mutualism";"directed";3;"number of individual"
"mangal_908";"mangal_node_0093";"mangal_node_0009";"mutualism";"directed";3;"number of individual"
"mangal_908";"mangal_node_0093";"mangal_node_0106";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0093";"mangal_node_0113";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0093";"mangal_node_0004";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0024";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0009";"mutualism";"directed";4;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0112";"mutualism";"directed";1;"number of individual"
"mangal_908";"mangal_node_0090";"mangal_node_0025";"mutualism";"directed";2;"number of individual"
