"network_id";"original_id";"network_db";"network_interaction";"network_year";"network_lat";"network_lon";"network_topology_type";"network_spatial_type"
"mangal_908";908;"mangal";"pollination";2002;70,722635596545;-52,144531836264;"bipartite";"Point"
"mangal_909";909;"mangal";"pollination";1994;68,35;18,5;"bipartite";"Point"
"mangal_19";19;"mangal";"pollination";1899;39,2798;-89,8818;"bipartite";"Point"
"mangal_18";18;"mangal";"pollination";1965;75;-114,966667;"bipartite";"Point"
"mangal_23";23;"mangal";"pollination";2002;-25,537485071759;-48,9729309082031;"bipartite";"Polygon"
"mangal_23";23;"mangal";"pollination";2002;-25,537485071759;-48,8826370239258;"bipartite";"Polygon"
"mangal_23";23;"mangal";"pollination";2002;-25,4612546759641;-48,8826370239258;"bipartite";"Polygon"
"mangal_23";23;"mangal";"pollination";2002;-25,4612546759641;-48,9729309082031;"bipartite";"Polygon"
"mangal_23";23;"mangal";"pollination";2002;-25,537485071759;-48,9729309082031;"bipartite";"Polygon"
"mangal_27";27;"mangal";"pollination";1987;46,553731;-66,071245;"bipartite";"Point"
"mangal_928";928;"mangal";"pollination";2001;-19,9527778;-40,5402777777778;"bipartite";"Polygon"
"mangal_928";928;"mangal";"pollination";2001;-19,9527778;-40,525;"bipartite";"Polygon"
"mangal_928";928;"mangal";"pollination";2001;-19,9833333;-40,525;"bipartite";"Polygon"
"mangal_928";928;"mangal";"pollination";2001;-19,9833333;-40,5402777777778;"bipartite";"Polygon"
"mangal_928";928;"mangal";"pollination";2001;-19,9527778;-40,5402777777778;"bipartite";"Polygon"
"mangal_929";929;"mangal";"pollination";2006;-8,4;-37,244444444444;"bipartite";"Polygon"
"mangal_929";929;"mangal";"pollination";2006;-8,4;-37,158333333333;"bipartite";"Polygon"
"mangal_929";929;"mangal";"pollination";2006;-8,6097222;-37,158333333333;"bipartite";"Polygon"
"mangal_929";929;"mangal";"pollination";2006;-8,6097222;-37,244444444444;"bipartite";"Polygon"
"mangal_929";929;"mangal";"pollination";2006;-8,4;-37,244444444444;"bipartite";"Polygon"
"mangal_929";929;"mangal";"pollination";2006;-8,4;-37,244444444444;"bipartite";"Polygon"
"mangal_935";935;"mangal";"pollination";2000;39,444798;-31,193594;"bipartite";"Point"
"mangal_934";934;"mangal";"pollination";1999;-20,420476;57,732639;"bipartite";"Point"
"mangal_938";938;"mangal";"pollination";1974;17,9167;-76,1917;"bipartite";"Point"
"mangal_940";940;"mangal";"pollination";1993;-0,5;-90,5;"bipartite";"Point"
"mangal_948";948;"mangal";"pollination";1991;35,5833;138,3833;"bipartite";"Point"
"mangal_945";945;"mangal";"pollination";1982;36,075391;-79,001843;"bipartite";"Point"
"mangal_949";949;"mangal";"pollination";1981;-33,283334;-70,266668;"bipartite";"Point"
"mangal_950";950;"mangal";"pollination";1981;-33,283334;-70,266668;"bipartite";"Point"
"mangal_951";951;"mangal";"pollination";1981;-33,283334;-70,266668;"bipartite";"Point"
"mangal_954";954;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_953";953;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_952";952;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_955";955;"mangal";"pollination";NA;28,127842;-17,248908;"bipartite";"Point"
"mangal_1364";1364;"mangal";"pollination";2013;NA;NA;"bipartite";NA
"mangal_1333";1333;"mangal";"pollination";2013;NA;NA;"bipartite";NA
"mangal_1316";1316;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_1384";1384;"mangal";"pollination";2014;NA;NA;"bipartite";NA
"mangal_1374";1374;"mangal";"pollination";2008;NA;NA;"bipartite";NA
"mangal_1388";1388;"mangal";"pollination";2012;NA;NA;"bipartite";NA
"mangal_1379";1379;"mangal";"pollination";2014;NA;NA;"bipartite";NA
"mangal_1351";1351;"mangal";"pollination";2012;NA;NA;"bipartite";NA
"mangal_1390";1390;"mangal";"pollination";2014;NA;NA;"bipartite";NA
"mangal_1395";1395;"mangal";"pollination";2012;NA;NA;"bipartite";NA
"mangal_1387";1387;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_1361";1361;"mangal";"pollination";2009;NA;NA;"bipartite";NA
"mangal_1389";1389;"mangal";"pollination";2013;NA;NA;"bipartite";NA
"mangal_1298";1298;"mangal";"pollination";2007;NA;NA;"bipartite";NA
"mangal_1407";1407;"mangal";"pollination";2012;NA;NA;"bipartite";NA
"mangal_1321";1321;"mangal";"pollination";2007;NA;NA;"bipartite";NA
"mangal_1393";1393;"mangal";"pollination";2009;NA;NA;"bipartite";NA
"mangal_1355";1355;"mangal";"pollination";2008;NA;NA;"bipartite";NA
"mangal_1345";1345;"mangal";"pollination";2009;NA;NA;"bipartite";NA
"mangal_1368";1368;"mangal";"pollination";2009;NA;NA;"bipartite";NA
"mangal_1373";1373;"mangal";"pollination";2007;NA;NA;"bipartite";NA
"mangal_1370";1370;"mangal";"pollination";2012;NA;NA;"bipartite";NA
"mangal_1424";1424;"mangal";"pollination";2007;NA;NA;"bipartite";NA
"mangal_1363";1363;"mangal";"pollination";2012;NA;NA;"bipartite";NA
"mangal_1381";1381;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_1396";1396;"mangal";"pollination";2013;NA;NA;"bipartite";NA
"mangal_1402";1402;"mangal";"pollination";2014;NA;NA;"bipartite";NA
"mangal_1346";1346;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_1359";1359;"mangal";"pollination";2013;NA;NA;"bipartite";NA
"mangal_1362";1362;"mangal";"pollination";2010;NA;NA;"bipartite";NA
"mangal_1365";1365;"mangal";"pollination";2014;NA;NA;"bipartite";NA
"mangal_1366";1366;"mangal";"pollination";2007;NA;NA;"bipartite";NA
"mangal_1382";1382;"mangal";"pollination";2012;NA;NA;"bipartite";NA
"mangal_1404";1404;"mangal";"pollination";2008;NA;NA;"bipartite";NA
"mangal_1386";1386;"mangal";"pollination";2010;NA;NA;"bipartite";NA
"mangal_1323";1323;"mangal";"pollination";2009;NA;NA;"bipartite";NA
"mangal_1347";1347;"mangal";"pollination";2013;NA;NA;"bipartite";NA
"mangal_1360";1360;"mangal";"pollination";2014;NA;NA;"bipartite";NA
"mangal_1394";1394;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_1356";1356;"mangal";"pollination";2009;NA;NA;"bipartite";NA
"mangal_1350";1350;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_1372";1372;"mangal";"pollination";2006;NA;NA;"bipartite";NA
"mangal_1357";1357;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_1352";1352;"mangal";"pollination";2013;NA;NA;"bipartite";NA
"mangal_1403";1403;"mangal";"pollination";2007;NA;NA;"bipartite";NA
"mangal_1392";1392;"mangal";"pollination";2008;NA;NA;"bipartite";NA
"mangal_1369";1369;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_1349";1349;"mangal";"pollination";2009;NA;NA;"bipartite";NA
"mangal_1290";1290;"mangal";"pollination";2012;NA;NA;"bipartite";NA
"mangal_1391";1391;"mangal";"pollination";2007;NA;NA;"bipartite";NA
"mangal_1410";1410;"mangal";"pollination";2009;NA;NA;"bipartite";NA
"mangal_1371";1371;"mangal";"pollination";2013;NA;NA;"bipartite";NA
"mangal_1329";1329;"mangal";"pollination";2009;NA;NA;"bipartite";NA
"mangal_1380";1380;"mangal";"pollination";2010;NA;NA;"bipartite";NA
"mangal_1411";1411;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_1422";1422;"mangal";"pollination";2014;NA;NA;"bipartite";NA
"mangal_1423";1423;"mangal";"pollination";2006;NA;NA;"bipartite";NA
"mangal_1340";1340;"mangal";"pollination";2013;NA;NA;"bipartite";NA
"mangal_1417";1417;"mangal";"pollination";2008;NA;NA;"bipartite";NA
"mangal_1343";1343;"mangal";"pollination";2007;NA;NA;"bipartite";NA
"mangal_1317";1317;"mangal";"pollination";2012;NA;NA;"bipartite";NA
"mangal_1412";1412;"mangal";"pollination";2012;NA;NA;"bipartite";NA
"mangal_1413";1413;"mangal";"pollination";2013;NA;NA;"bipartite";NA
"mangal_1342";1342;"mangal";"pollination";2006;NA;NA;"bipartite";NA
"mangal_1406";1406;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_1291";1291;"mangal";"pollination";2013;NA;NA;"bipartite";NA
"mangal_1309";1309;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_1430";1430;"mangal";"pollination";2014;NA;NA;"bipartite";NA
"mangal_1426";1426;"mangal";"pollination";2009;NA;NA;"bipartite";NA
"mangal_1425";1425;"mangal";"pollination";2008;NA;NA;"bipartite";NA
"mangal_1331";1331;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_1419";1419;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_1299";1299;"mangal";"pollination";2008;NA;NA;"bipartite";NA
"mangal_1375";1375;"mangal";"pollination";2009;NA;NA;"bipartite";NA
"mangal_1337";1337;"mangal";"pollination";2009;NA;NA;"bipartite";NA
"mangal_1427";1427;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_1429";1429;"mangal";"pollination";2013;NA;NA;"bipartite";NA
"mangal_1428";1428;"mangal";"pollination";2012;NA;NA;"bipartite";NA
"mangal_1318";1318;"mangal";"pollination";2013;NA;NA;"bipartite";NA
"mangal_1305";1305;"mangal";"pollination";2006;NA;NA;"bipartite";NA
"mangal_1296";1296;"mangal";"pollination";2013;NA;NA;"bipartite";NA
"mangal_1405";1405;"mangal";"pollination";2009;NA;NA;"bipartite";NA
"mangal_1301";1301;"mangal";"pollination";2011;NA;NA;"bipartite";NA
"mangal_1322";1322;"mangal";"pollination";2008;NA;NA;"bipartite";NA
"mangal_1367";1367;"mangal";"pollination";2008;NA;NA;"bipartite";NA
"mangal_1313";1313;"mangal";"pollination";2007;NA;NA;"bipartite";NA
"mangal_1297";1297;"mangal";"pollination";2014;NA;NA;"bipartite";NA
"mangal_1308";1308;"mangal";"pollination";2009;NA;NA;"bipartite";NA
"mangal_1292";1292;"mangal";"pollination";2014;NA;NA;"bipartite";NA
"mangal_1328";1328;"mangal";"pollination";2008;NA;NA;"bipartite";NA
"mangal_1332";1332;"mangal";"pollination";2012;NA;NA;"bipartite";NA
"mangal_1418";1418;"mangal";"pollination";2009;NA;NA;"bipartite";NA
