"node_id";"taxonomy_name";"taxonomy_rank"
"mangal_node_0001";"Arnica angustifolia alpina";"infraspecies"
"mangal_node_0003";"Cassiope tetragona";"species"
"mangal_node_0004";"Cerastium alpinum";"species"
"mangal_node_0009";"Dryas integrifolia";"species"
"mangal_node_0010";"Epilobium latifolium";"species"
"mangal_node_0013";"Papaver radicatum";"species"
"mangal_node_0017";"Bistorta affinis";"species"
"mangal_node_0023";"Saxifraga oppositifolia";"species"
"mangal_node_0024";"Saxifraga tricuspidata";"species"
"mangal_node_0025";"Silene acaulis";"species"
"mangal_node_0036";"Colias hecla";"species"
"mangal_node_0038";"Chironomidae";"family"
"mangal_node_0040";"Corynoneura scutellata";"species"
"mangal_node_0044";"Heterotrissocladius subpilosus";"species"
"mangal_node_0053";"Smittia";"genus"
"mangal_node_0057";"Micropsectra";"genus"
"mangal_node_0064";"Bradysia";"genus"
"mangal_node_0065";"Rhamphomyia";"genus"
"mangal_node_0072";"Spilogona";"genus"
"mangal_node_0074";"Spilogona dorsata";"species"
"mangal_node_0075";"Spilogona latilamina";"species"
"mangal_node_0076";"Spilogona melanosoma";"species"
"mangal_node_0077";"Spilogona sanctipauli";"species"
"mangal_node_0080";"Protophormia atriceps";"species"
"mangal_node_0084";"Ichneumonidae";"family"
"mangal_node_0087";"Braconidae";"family"
"mangal_node_0089";"Apis mellifera";"species"
"mangal_node_0090";NA;NA
"mangal_node_0091";"Acarina";NA
"mangal_node_0092";"Nysius groenlandicus";"species"
"mangal_node_0093";"Thysanoptera";"order"
"mangal_node_0094";"Eupeodes curtus";"species"
"mangal_node_0095";"Dolichopus";"genus"
"mangal_node_0096";"Platycheirus hyperboreus";"species"
"mangal_node_0097";"Platycheirus lundbecki";"species"
"mangal_node_0098";"Delia";"genus"
"mangal_node_0099";"Pegomya";"genus"
"mangal_node_0100";"Sphaerophoria scripta";"species"
"mangal_node_0101";"Coccinella transversoguttata";"species"
"mangal_node_0102";"Eupeodes luniger";"species"
"mangal_node_0103";"Lasiomma";"genus"
"mangal_node_0104";"Platycheirus groenlandicus";"species"
"mangal_node_0105";"Protophormia terranovae";NA
"mangal_node_0106";"Rhododendron groenlandicum";"species"
"mangal_node_0107";"Salix";"genus"
"mangal_node_0108";"Vaccinium uliginosum";"species"
"mangal_node_0109";"Pedicularis flammea";"species"
"mangal_node_0110";"Silene suecica";"species"
"mangal_node_0111";"Potentilla rubricaulis";"species"
"mangal_node_0112";"Campanula gieseckiana";NA
"mangal_node_0113";"Rhododendron lapponicum";"species"
"mangal_node_0114";"Pyrola grandiflora";"species"
"mangal_node_0115";"Phaonia alpicola";"species"
"mangal_node_0116";"Limnophyes ninae";"species"
"mangal_node_0117";"Megaselia diversa";"species"
"mangal_node_0118";"Megaselia";"genus"
"mangal_node_0119";"Megaselia digitalis";"species"
"mangal_node_0120";"Chloropinae";NA
"mangal_node_0121";"Allopiophila vulgaris";"species"
"mangal_node_0122";"Aclastus";"genus"
"mangal_node_0123";"Micropsectra radialis";"species"
"mangal_node_0124";"Noctuidae";"family"
"mangal_node_0125";"Arpedium";"genus"
"mangal_node_0126";"Mycomya fuscata";"species"
"mangal_node_0127";"Oliveridia tricornis";"species"
"mangal_node_0128";"Phaonia subfuscinervis";"species"
"mangal_node_0129";"Podabrus";"genus"
"mangal_node_0130";"Rhamphomyia aethiops";"species"
"mangal_node_0131";"Rhamphomyia reflexa";"species"
"mangal_node_0132";"Cotesia";"genus"
"mangal_node_0133";"Empis lucida";"species"
"mangal_node_0134";"Limnephilus harrimani";"species"
"mangal_node_0135";"Paradelia";"genus"
"mangal_node_0136";"Pegoplata aestiva";"species"
"mangal_node_0137";"Pteromalidae";"family"
"mangal_node_0138";"Hesperia comma";"species"
"mangal_node_0139";"Botanophila bidens";"species"
"mangal_node_0140";"Cidaria";"genus"
"mangal_node_0141";"Egle parva";"species"
"mangal_node_0142";"Egle";"genus"
"mangal_node_0143";"Camptocladius brachytomus";"species"
"mangal_node_0144";"Limnophyes natalensis";"species"
"mangal_node_0145";"Bradysia giraudii";"species"
"mangal_node_0146";"Megaselia sordida";"species"
"mangal_node_0147";"Orthocentrinae";NA
"mangal_node_0148";"Phygadeuon";"genus"
"mangal_node_0149";"Rhamphomyia morio";"species"
"mangal_node_0150";"Thricops furcatus";"species"
"mangal_node_0151";"Acamptocladius submontanus";"species"
"mangal_node_0152";"Alliopsis glacialis";"species"
"mangal_node_0153";"Allophorocera lapponica";"species"
"mangal_node_0154";"Alysiinae";NA
"mangal_node_0155";"Anarta";"genus"
"mangal_node_0156";"Anthomyiidae";"family"
"mangal_node_0157";"Boletina";"genus"
"mangal_node_0158";"Bombus alpinus";"species"
"mangal_node_0159";"Bombus hyperboreus";"species"
"mangal_node_0160";"Bradysia giraudi";NA
"mangal_node_0161";"Psila morio";"species"
"mangal_node_0162";"Coenosia atritibia";"species"
"mangal_node_0163";"Coenosia octopunctata";"species"
"mangal_node_0164";"Corynoptera";"genus"
"mangal_node_0165";"Dasineura";"genus"
"mangal_node_0166";"Delia piliventris";"species"
"mangal_node_0167";"Dolichopus plumipes";"species"
"mangal_node_0168";"Egle minuta";"species"
"mangal_node_0169";"Fannia mollissima";"species"
"mangal_node_0200";"Dryas octopetala";"species"
"mangal_node_0201";"Potentilla crantzii";"species"
"mangal_node_0202";"Trollius europaeus";"species"
"mangal_node_0203";"Pinguicula alpina";"species"
"mangal_node_0204";"Rhodiola rosea";"species"
"mangal_node_0205";"Diapensia lapponica";"species"
"mangal_node_0206";"Saxifraga aizoides";"species"
"mangal_node_0207";"Parnassia palustris";"species"
"mangal_node_0208";"Arabis alpina";"species"
"mangal_node_0209";"Viola biflora";"species"
"mangal_node_0210";"Taraxacum officinale";"species"
"mangal_node_0211";"Salix reticulata";"species"
"mangal_node_0212";"Harrimanella hypnoides";"species"
"mangal_node_0213";"Salix lanata";"species"
"mangal_node_0214";"Antennaria alpina";"species"
"mangal_node_0215";"Salix polaris";"species"
"mangal_node_0216";"Astragalus alpinus";"species"
"mangal_node_0217";"Bartsia alpina";"species"
"mangal_node_0979";"Abutilon theophrasti";"species"
"mangal_node_0980";"Acer negundo";"species"
"mangal_node_0981";"Acer saccharinum";"species"
"mangal_node_0982";"Achillea millefolium";"species"
"mangal_node_0983";"Aesculus glabra";"species"
"mangal_node_0984";"Aesculus hippocastanum";"species"
"mangal_node_0985";"Agastache nepetoides";"species"
"mangal_node_0986";"Agastache scrophulariaefolia";NA
"mangal_node_0987";"Agrimonia striata";"species"
"mangal_node_0988";"Alisma plantago-aquatica";"species"
"mangal_node_0989";"Amaranthus spinosus";"species"
"mangal_node_0990";"Ambrosia trifida";"species"
"mangal_node_0991";"Amelanchier canadensis";"species"
"mangal_node_0992";"Ammannia coccinea";"species"
"mangal_node_0993";"Amorpha canescens";"species"
"mangal_node_0994";"Amorpha fruticosa";"species"
"mangal_node_0995";"Anemonella thalictroides";NA
"mangal_node_0996";"Anethum graveolens";"species"
"mangal_node_0997";"Antennaria plantaginifolia";"species"
"mangal_node_0998";"Anthemis cotula";"species"
"mangal_node_0999";"Apocynum androsaemifolium";"species"
"mangal_node_1000";"Apocynum cannabinum";"species"
"mangal_node_1001";"Aquilegia canadensis";"species"
"mangal_node_1002";"Boechera laevigata";"species"
"mangal_node_1003";"Arctium minus";"species"
"mangal_node_1004";"Arisaema triphyllum";"species"
