species,prob_excl_mean,prob_excl_lowerCI,prob_excl_upperCI
sp_1,0.015640854523499996,0.015565490551627157,0.015715712285585832
sp_2,0.01525987020319728,0.015186311572731556,0.015333108653512685
sp_3,0.015230772367616349,0.015158647119205164,0.015303677274757706
sp_4,0.015407389074026402,0.015333647330878645,0.015480852313565252
sp_5,0.01597516132188715,0.015898177193547136,0.016052263149380155
sp_6,0.01567472415974608,0.015599937241639257,0.015749232701216493
sp_7,0.014899962155819069,0.014829160839976492,0.01497155123636582
sp_8,0.015016117767115715,0.014944105827199416,0.015088086046876932
sp_9,0.0616443066188927,0.06150957775256662,0.061778097596861384
sp_10,0.03211686476328183,0.03201411500866947,0.03221848538853595
sp_11,0.06166783949346962,0.06153426330191409,0.06180086370670917
sp_12,0.037160162349120646,0.03703440395944513,0.03728681569452247
sp_13,0.037212354713232865,0.037089563028275416,0.03733696928641528
sp_14,0.33760932508544356,0.33739801468597286,0.33781657519733144
sp_15,0.30948429540365074,0.30927198659827626,0.30969624586324307
