species,prob_excl_mean,prob_excl_lowerCI,prob_excl_upperCI
sp_1,0.016913735126925677,0.016799787280454528,0.01702695079959575
sp_2,0.016600364718967878,0.016487906635614898,0.016714405748239302
sp_3,0.06749105493325337,0.06722411730450575,0.06776173220888167
sp_4,0.162364427970605,0.16197886910867776,0.16274667561677533
sp_5,0.0356633222153137,0.035463979002975224,0.035864941261940245
sp_6,0.06362206936223237,0.06335899630172283,0.0638901900337052
sp_7,0.05138244912436697,0.05114964925156677,0.05161827360824857
sp_8,0.0636352547520921,0.06337196950639364,0.0639005966649667
sp_9,0.06909132900552957,0.06881137374857046,0.06937072312645919
sp_10,0.05249811781827938,0.052258150130941525,0.05273637221654784
sp_11,0.12096429301700033,0.12055771106817209,0.12137426664217787
sp_12,0.03760534365725651,0.037404068635208135,0.03780697515776826
sp_13,0.06071723257836471,0.06042927713714202,0.061010998547259374
sp_14,0.16461469965980646,0.16422569495462827,0.1650059721757415
sp_15,0.01683630606000597,0.016684953957967652,0.01698323450970319
