year,sample,species,prob_exclusion,Omega
2015,1,BEMA,0.039179239314683964,2.2625287405095728e-12
2015,1,CETE,0.014077554333538824,2.2625287405095728e-12
2015,1,CHFU,0.032376538424913226,2.2625287405095728e-12
2015,1,CHMI,0.04604508740897336,2.2625287405095728e-12
2015,1,HOMA,0.025078279817823044,2.2625287405095728e-12
2015,1,LEMA,0.09317675387958418,2.2625287405095728e-12
2015,1,MEEL,0.1959893204661786,2.2625287405095728e-12
2015,1,MESU,0.025742032148887862,2.2625287405095728e-12
2015,1,PAIN,0.011026532942662665,2.2625287405095728e-12
2015,1,PLCO,0.24955544147730732,2.2625287405095728e-12
2015,1,POMA,0.08119539135927789,2.2625287405095728e-12
2015,1,POMO,0.04616986975964987,2.2625287405095728e-12
2015,1,PUPA,0.010826996978230063,2.2625287405095728e-12
2015,1,SASO,0.004531600602784418,2.2625287405095728e-12
2015,1,SCLA,0.05352813220123888,2.2625287405095728e-12
2015,1,SOAS,0.050250747534876655,2.2625287405095728e-12
2015,1,SPRU,0.013083444667645503,2.2625287405095728e-12
2015,1,SUSP,0.00816703668174374,2.2625287405095728e-12
2015,2,BEMA,0.007836621218204186,8.368263695703563e-13
2015,2,CETE,0.024611794228438358,8.368263695703563e-13
2015,2,CHFU,0.04322692430861054,8.368263695703563e-13
2015,2,CHMI,0.08927299974504256,8.368263695703563e-13
2015,2,HOMA,0.08772358787431672,8.368263695703563e-13
2015,2,LEMA,0.17602603339124406,8.368263695703563e-13
2015,2,MEEL,0.0869133202893223,8.368263695703563e-13
2015,2,MESU,0.06310181630114141,8.368263695703563e-13
2015,2,PAIN,0.00567582630153794,8.368263695703563e-13
2015,2,PLCO,0.24194675654597572,8.368263695703563e-13
2015,2,POMA,0.07593843855754483,8.368263695703563e-13
2015,2,POMO,0.01896538384932363,8.368263695703563e-13
2015,2,PUPA,0.012959071047109498,8.368263695703563e-13
2015,2,SASO,0.005231177765088907,8.368263695703563e-13
2015,2,SCLA,0.03269420947041465,8.368263695703563e-13
2015,2,SOAS,0.019460883197921865,8.368263695703563e-13
2015,2,SPRU,0.004094836991685605,8.368263695703563e-13
2015,2,SUSP,0.004320318917077242,8.368263695703563e-13
2015,3,BEMA,0.014348111993528883,3.2666086307126534e-13
2015,3,CETE,0.010093753979797383,3.2666086307126534e-13
2015,3,CHFU,0.08716656049261133,3.2666086307126534e-13
2015,3,CHMI,0.07268605584323258,3.2666086307126534e-13
2015,3,HOMA,0.06320628058221726,3.2666086307126534e-13
2015,3,LEMA,0.028072974779562096,3.2666086307126534e-13
2015,3,MEEL,0.17205138888104096,3.2666086307126534e-13
2015,3,MESU,0.17553894369731618,3.2666086307126534e-13
2015,3,PAIN,0.017029961106747697,3.2666086307126534e-13
2015,3,PLCO,0.04317044149887484,3.2666086307126534e-13
2015,3,POMA,0.06713398598364799,3.2666086307126534e-13
2015,3,POMO,0.06706674941995668,3.2666086307126534e-13
2015,3,PUPA,0.010757093969248224,3.2666086307126534e-13
2015,3,SASO,0.01933710350069331,3.2666086307126534e-13
2015,3,SCLA,0.10360524539885786,3.2666086307126534e-13
2015,3,SOAS,0.02845408563609185,3.2666086307126534e-13
2015,3,SPRU,0.01902058570711766,3.2666086307126534e-13
2015,3,SUSP,0.0012606775294572643,3.2666086307126534e-13
2015,4,BEMA,0.024386194679174026,2.155816852850795e-11
2015,4,CETE,0.011336337994863622,2.155816852850795e-11
2015,4,CHFU,0.046827312296192365,2.155816852850795e-11
2015,4,CHMI,0.05081391006482611,2.155816852850795e-11
2015,4,HOMA,0.04191811137279336,2.155816852850795e-11
2015,4,LEMA,0.06556138722823678,2.155816852850795e-11
2015,4,MEEL,0.04715292189818979,2.155816852850795e-11
2015,4,MESU,0.0786725705330295,2.155816852850795e-11
2015,4,PAIN,0.05518715891589389,2.155816852850795e-11
2015,4,PLCO,0.2572547516909292,2.155816852850795e-11
2015,4,POMA,0.12413656675088275,2.155816852850795e-11
2015,4,POMO,0.1294472618429587,2.155816852850795e-11
2015,4,PUPA,0.005727717875813245,2.155816852850795e-11
2015,4,SASO,0.01450121973250007,2.155816852850795e-11
2015,4,SCLA,0.01893296424593479,2.155816852850795e-11
2015,4,SOAS,0.006526411085096532,2.155816852850795e-11
2015,4,SPRU,0.008342285226993046,2.155816852850795e-11
2015,4,SUSP,0.013274916565692296,2.155816852850795e-11
2015,5,BEMA,0.06642724870009704,9.182015922836475e-11
2015,5,CETE,0.010997885902726838,9.182015922836475e-11
2015,5,CHFU,0.03172539659561028,9.182015922836475e-11
2015,5,CHMI,0.03987976290217963,9.182015922836475e-11
2015,5,HOMA,0.0348092912676374,9.182015922836475e-11
2015,5,LEMA,0.1654483438987227,9.182015922836475e-11
2015,5,MEEL,0.09954061648106798,9.182015922836475e-11
2015,5,MESU,0.041038977114520134,9.182015922836475e-11
2015,5,PAIN,0.02230609884326323,9.182015922836475e-11
2015,5,PLCO,0.09873357978621088,9.182015922836475e-11
2015,5,POMA,0.07225813269355347,9.182015922836475e-11
2015,5,POMO,0.08996857032251057,9.182015922836475e-11
2015,5,PUPA,0.009543401919547974,9.182015922836475e-11
2015,5,SASO,0.03133540941545767,9.182015922836475e-11
2015,5,SCLA,0.10005030898227364,9.182015922836475e-11
2015,5,SOAS,0.041467695182385515,9.182015922836475e-11
2015,5,SPRU,0.02002578600352454,9.182015922836475e-11
2015,5,SUSP,0.02444349398871056,9.182015922836475e-11
2015,6,BEMA,0.07233888211775723,2.901545706071548e-10
2015,6,CETE,0.007501891229866462,2.901545706071548e-10
2015,6,CHFU,0.02223997981029692,2.901545706071548e-10
2015,6,CHMI,0.03825663568140054,2.901545706071548e-10
2015,6,HOMA,0.03527993105006232,2.901545706071548e-10
2015,6,LEMA,0.1571914467395051,2.901545706071548e-10
2015,6,MEEL,0.08828604143619502,2.901545706071548e-10
2015,6,MESU,0.033126934965947076,2.901545706071548e-10
2015,6,PAIN,0.030393485622355998,2.901545706071548e-10
2015,6,PLCO,0.0980965852436735,2.901545706071548e-10
2015,6,POMA,0.07276955090359064,2.901545706071548e-10
2015,6,POMO,0.1101208369201202,2.901545706071548e-10
2015,6,PUPA,0.01048503435805455,2.901545706071548e-10
2015,6,SASO,0.05115680504798664,2.901545706071548e-10
2015,6,SCLA,0.12033295255411598,2.901545706071548e-10
2015,6,SOAS,0.01583941199876574,2.901545706071548e-10
2015,6,SPRU,0.012693715487862568,2.901545706071548e-10
2015,6,SUSP,0.023889878832443513,2.901545706071548e-10
2015,7,BEMA,0.015717382909631917,5.370658082832347e-15
2015,7,CETE,7.760238918436038e-4,5.370658082832347e-15
2015,7,CHFU,0.1119335399528809,5.370658082832347e-15
2015,7,CHMI,0.005234532348946514,5.370658082832347e-15
2015,7,HOMA,0.03139971864721294,5.370658082832347e-15
2015,7,LEMA,0.20967010531940536,5.370658082832347e-15
2015,7,MEEL,0.09245948784192998,5.370658082832347e-15
2015,7,MESU,0.1397955818751142,5.370658082832347e-15
2015,7,PAIN,0.015942138732031798,5.370658082832347e-15
2015,7,PLCO,0.1851798957324402,5.370658082832347e-15
2015,7,POMA,0.14145502183114358,5.370658082832347e-15
2015,7,POMO,0.00952225047441927,5.370658082832347e-15
2015,7,PUPA,0.015213793938645677,5.370658082832347e-15
2015,7,SASO,0.0018104604921184264,5.370658082832347e-15
2015,7,SCLA,0.005724550399177768,5.370658082832347e-15
2015,7,SOAS,0.01759554895604051,5.370658082832347e-15
2015,7,SPRU,5.4174896846222924e-5,5.370658082832347e-15
