species,Year,number_species,mean_capital_omega
BEMA,2015,18,4.379174014026149e-15
CETE,2015,18,6.719925976812349e-15
CHFU,2015,18,8.892569398104392e-14
CHMI,2015,18,9.3621343140866e-14
HOMA,2015,18,1.5206134152511578e-12
LEMA,2015,18,4.581260143479128e-13
MEEL,2015,18,8.890000858950134e-14
MESU,2015,18,3.1891419707770687e-12
PAIN,2015,18,1.1422746218345959e-12
PLCO,2015,18,2.3834692177416785e-13
POMA,2015,18,6.611750339018024e-13
POMO,2015,18,1.1315196204821844e-14
PUPA,2015,18,4.056487463109466e-14
SASO,2015,18,2.502478872110373e-16
SCLA,2015,18,1.2526991488225777e-12
SOAS,2015,18,2.7191945733160474e-13
SPRU,2015,18,1.5848846164542605e-14
SUSP,2015,18,1.4499754593804203e-14
BEMA,2016,15,9.446661407038227e-6
CETE,2016,15,5.7651479108208355e-6
HOMA,2016,15,3.3513730592474713e-6
LEMA,2016,15,1.7113932557200942e-8
MEEL,2016,15,5.5581749447309605e-11
MESU,2016,15,3.041549788962989e-5
PAIN,2016,15,1.9323902811665226e-9
PLCO,2016,15,4.106990280594561e-6
POMA,2016,15,2.7906167523321647e-8
POMO,2016,15,6.110411059717619e-7
PUPA,2016,15,8.440370177098134e-6
SASO,2016,15,8.818703134196617e-7
SCLA,2016,15,2.543250419914973e-6
SOAS,2016,15,2.0218674752569813e-6
SPRU,2016,15,9.818020069269598e-7
BEMA,2017,16,5.620287269893545e-8
CETE,2017,16,1.2911079857051172e-7
CHFU,2017,16,5.0122946038289066e-8
CHMI,2017,16,1.057168751550805e-8
HOMA,2017,16,5.462217160934464e-8
LEMA,2017,16,8.779552115333031e-9
MEEL,2017,16,5.19472050199145e-8
MESU,2017,16,4.167523840751523e-8
PAIN,2017,16,3.542288753665457e-8
PLCO,2017,16,2.9187080170024766e-8
POMA,2017,16,3.4058057720906082e-9
POMO,2017,16,1.8415020069453816e-8
PUPA,2017,16,5.169572938120543e-10
SASO,2017,16,3.574187713064292e-8
SCLA,2017,16,1.059621447336138e-7
SPRU,2017,16,4.558908889478695e-8
BEMA,2018,8,4.217256473670927e-5
CETE,2018,8,1.7419548856291678e-4
HOMA,2018,8,1.8367579896558994e-5
LEMA,2018,8,4.924979527127375e-6
PAIN,2018,8,1.386607662107497e-4
POMA,2018,8,6.720192573392671e-5
PUPA,2018,8,2.5382520624502428e-5
SASO,2018,8,7.3383354708348685e-6
BEMA,2019,17,2.2277161473764287e-13
CETE,2019,17,2.1722074173394093e-13
CHFU,2019,17,1.0180388478084931e-14
CHMI,2019,17,1.3375756702499574e-15
HOMA,2019,17,4.114422658892127e-13
LEMA,2019,17,5.5503300099786824e-14
MEEL,2019,17,1.1377466189358809e-14
MESU,2019,17,9.635526063906021e-15
PAIN,2019,17,1.1415481653643775e-13
PLCO,2019,17,1.3555425591774337e-13
POMA,2019,17,9.504355857731043e-12
POMO,2019,17,1.0473217000126358e-11
PUPA,2019,17,1.0866063680987793e-16
SASO,2019,17,4.41446986100671e-14
SCLA,2019,17,1.7638881852545378e-13
SOAS,2019,17,1.5764979520740962e-16
SPRU,2019,17,2.1736223420349194e-13
BEMA,2020,16,4.610238560729981e-17
CETE,2020,16,1.1499425651949055e-17
CHFU,2020,16,2.3091095913860112e-17
CHMI,2020,16,3.676894125406924e-19
HOMA,2020,16,5.558475595177545e-18
LEMA,2020,16,9.52405457798815e-17
MESU,2020,16,2.2610843847202447e-16
PAIN,2020,16,2.0059330048411242e-16
PLCO,2020,16,7.261481962906761e-16
POMA,2020,16,2.332143571910742e-15
POMO,2020,16,1.8639777292646727e-17
PUPA,2020,16,1.6590222844673489e-16
SASO,2020,16,1.1956983323340846e-18
SCLA,2020,16,2.3190468006069424e-22
SOAS,2020,16,6.265020479969376e-17
SPRU,2020,16,3.911546376020892e-16
BEMA,2021,17,1.955955586682348e-14
CETE,2021,17,2.841894044024526e-13
CHFU,2021,17,4.72919701548238e-13
CHMI,2021,17,2.3050124958311383e-14
HOMA,2021,17,6.78266634747823e-13
LEMA,2021,17,1.6109186771498738e-11
MEEL,2021,17,4.191832238360601e-14
MESU,2021,17,1.9031570660815374e-12
PAIN,2021,17,1.1638427305557613e-13
PLCO,2021,17,1.2197485467522895e-12
POMA,2021,17,1.930156756986396e-14
POMO,2021,17,1.5881277592841246e-13
PUPA,2021,17,8.686762576814795e-14
SASO,2021,17,1.5867110430967546e-13
SCLA,2021,17,1.1345311613562769e-12
SOAS,2021,17,4.617092165900153e-13
SPRU,2021,17,5.177814985367048e-13
