network_id,node_from,node_to,link_type,link_direction,link_value,link_units
mangal_909,mangal_node_0115,mangal_node_0200,mutualism,directed,1,NA
mangal_909,mangal_node_0115,mangal_node_0201,mutualism,directed,1,NA
mangal_909,mangal_node_0115,mangal_node_0025,mutualism,directed,1,NA
mangal_909,mangal_node_0115,mangal_node_0004,mutualism,directed,1,NA
mangal_909,mangal_node_0115,mangal_node_0017,mutualism,directed,1,NA
mangal_909,mangal_node_0115,mangal_node_0023,mutualism,directed,1,NA
mangal_909,mangal_node_0115,mangal_node_0202,mutualism,directed,1,NA
mangal_909,mangal_node_0115,mangal_node_0203,mutualism,directed,1,NA
mangal_909,mangal_node_0115,mangal_node_0204,mutualism,directed,1,NA
mangal_909,mangal_node_0115,mangal_node_0113,mutualism,directed,1,NA
mangal_909,mangal_node_0116,mangal_node_0200,mutualism,directed,1,NA
mangal_909,mangal_node_0116,mangal_node_0205,mutualism,directed,1,NA
mangal_909,mangal_node_0116,mangal_node_0206,mutualism,directed,1,NA
mangal_909,mangal_node_0116,mangal_node_0201,mutualism,directed,1,NA
mangal_909,mangal_node_0116,mangal_node_0004,mutualism,directed,1,NA
mangal_909,mangal_node_0116,mangal_node_0017,mutualism,directed,1,NA
mangal_909,mangal_node_0116,mangal_node_0202,mutualism,directed,1,NA
mangal_909,mangal_node_0116,mangal_node_0208,mutualism,directed,1,NA
mangal_909,mangal_node_0117,mangal_node_0200,mutualism,directed,1,NA
mangal_909,mangal_node_0117,mangal_node_0201,mutualism,directed,1,NA
mangal_909,mangal_node_0117,mangal_node_0025,mutualism,directed,1,NA
mangal_909,mangal_node_0117,mangal_node_0004,mutualism,directed,1,NA
mangal_909,mangal_node_0117,mangal_node_0017,mutualism,directed,1,NA
mangal_909,mangal_node_0117,mangal_node_0209,mutualism,directed,1,NA
mangal_909,mangal_node_0117,mangal_node_0203,mutualism,directed,1,NA
mangal_909,mangal_node_0117,mangal_node_0210,mutualism,directed,1,NA
mangal_909,mangal_node_0117,mangal_node_0208,mutualism,directed,1,NA
mangal_909,mangal_node_0118,mangal_node_0206,mutualism,directed,1,NA
mangal_909,mangal_node_0118,mangal_node_0201,mutualism,directed,1,NA
mangal_909,mangal_node_0118,mangal_node_0025,mutualism,directed,1,NA
mangal_909,mangal_node_0118,mangal_node_0004,mutualism,directed,1,NA
mangal_909,mangal_node_0118,mangal_node_0017,mutualism,directed,1,NA
mangal_909,mangal_node_0118,mangal_node_0211,mutualism,directed,1,NA
mangal_909,mangal_node_0118,mangal_node_0209,mutualism,directed,1,NA
mangal_909,mangal_node_0118,mangal_node_0203,mutualism,directed,1,NA
mangal_909,mangal_node_0118,mangal_node_0212,mutualism,directed,1,NA
mangal_909,mangal_node_0053,mangal_node_0201,mutualism,directed,1,NA
mangal_909,mangal_node_0053,mangal_node_0025,mutualism,directed,1,NA
mangal_909,mangal_node_0053,mangal_node_0213,mutualism,directed,1,NA
mangal_909,mangal_node_0053,mangal_node_0211,mutualism,directed,1,NA
mangal_909,mangal_node_0053,mangal_node_0209,mutualism,directed,1,NA
mangal_909,mangal_node_0053,mangal_node_0203,mutualism,directed,1,NA
mangal_909,mangal_node_0053,mangal_node_0214,mutualism,directed,1,NA
mangal_909,mangal_node_0053,mangal_node_0003,mutualism,directed,1,NA
mangal_909,mangal_node_0053,mangal_node_0215,mutualism,directed,1,NA
mangal_909,mangal_node_0119,mangal_node_0200,mutualism,directed,1,NA
mangal_909,mangal_node_0119,mangal_node_0205,mutualism,directed,1,NA
mangal_909,mangal_node_0119,mangal_node_0201,mutualism,directed,1,NA
mangal_909,mangal_node_0119,mangal_node_0017,mutualism,directed,1,NA
mangal_909,mangal_node_0119,mangal_node_0211,mutualism,directed,1,NA
mangal_909,mangal_node_0119,mangal_node_0023,mutualism,directed,1,NA
mangal_909,mangal_node_0119,mangal_node_0203,mutualism,directed,1,NA
mangal_909,mangal_node_0119,mangal_node_0214,mutualism,directed,1,NA
mangal_909,mangal_node_0120,mangal_node_0200,mutualism,directed,1,NA
mangal_909,mangal_node_0120,mangal_node_0205,mutualism,directed,1,NA
mangal_909,mangal_node_0120,mangal_node_0201,mutualism,directed,1,NA
