species,prob_excl_mean,prob_excl_lowerCI,prob_excl_upperCI
sp_1,0.06666657523087387,0.06666636506856918,0.0666667870954689
sp_2,0.06666666440620006,0.06666646293914506,0.06666687309260642
sp_3,0.06666671756556969,0.06666651076126526,0.0666669253385074
sp_4,0.06666664541058938,0.06666642811761313,0.06666686618515125
sp_5,0.06666657982556606,0.0666663708057894,0.06666678911506656
sp_6,0.06666683309522042,0.06666662518383742,0.06666704178929055
sp_7,0.06666676881453151,0.06666656160166316,0.06666697914201956
sp_8,0.06666667019214746,0.0666664621877799,0.06666687938701696
sp_9,0.06666668024572141,0.06666646726667269,0.06666688814222226
sp_10,0.06666668005966514,0.0666664692623643,0.06666688458579621
sp_11,0.06666654813385883,0.06666634307235533,0.06666675495119621
sp_12,0.06666646546794215,0.0666662512927025,0.06666667667781302
sp_13,0.06666675759098804,0.06666655341954747,0.06666696323205516
sp_14,0.06666676380543052,0.0666665516896858,0.06666697617311558
sp_15,0.06666665015569545,0.0666665954523131,0.06666670415509628
